id,text,lang_code
87,Buchungen können online durchgeführt werden.,de
88,Son client y a assisté.,fr
89,지금은 필요한 게 더 없어요.,ko
90,โอ้ ใช่ มาก,th
91,Ich muss neue Schuhe kaufen.,de
92,아직도 실감이 너무 안 난다.,ko
93,Thẻ tàu bao nhiêu tiền?,vi
94,加钟打八折。,zh_cn
95,Bunu değiştirmek için içsel tutumlarını değiştirmeleri gerekir.,tr
96,Kereta terlambat dari yang dijadwalkan.,id
97,干嘛要打扫。,zh_cn
98,Sie haben die Website gesehen.,de
99,Jae Hong terus membuat sarapan.,id
100,Я ищу обувной магазин.,ru
101,看上去苍白。,zh_cn
102,คุณต้องรีบ,th
103,"Kamu semua obses, bukan, hmm?",ms
104,Saya kepayahan dengan istilah sains.,ms
105,祝贺你父母！,zh_cn
106,Поэтому они подняли это.,ru
107,รับคำใบ้!,th
108,Món côtlet không còn nữa.,vi
109,都很合适。,zh_cn
110,Pumpendruck an der Kupplung anliegt.,de
111,حسناً، أنا آسف .وفر طاقتك.,ar
112,Henüz kış bile değil.,tr
113,มันดูยาก,th
114,地震は怖い?,ja
115,El drama es tu drama.,es
116,好きな作家は?,ja
117,Quantos soldados você viu?,pt
118,够浪漫的啊。,zh_cn
119,"Cô thế nào, cô Tanaka?",vi
120,Possiamo creare il tuo certificato medico anche in inglese.,it
121,لن أفعل ذلك، يا Gloria.,ar
122,FORTRAN ist eine Programmiersprache.,de
123,Don't you wanna join us?,en
124,هل هذا بشأن الحاسوب؟,ar
125,看起来很美。,zh_cn
126,We're just looking for balance.,en
127,彼氏がいるの。,ja
128,奥さんどう?,ja
129,Quanto costa l'assicurazione per questo prodotto?,it
130,Bagaimana kalau membagi pembayaran?,id
131,Soy cliente de Brightcove.,es
132,أنا أحتاج شخص مخادع!,ar
133,Nie war Automatisierung einfacher.,de
134,用意できた?,ja
135,Awak perlu percaya saya.,ms
136,脚踏两只船。,zh_cn
137,แค่กดปุ่ม,th
138,È possibile il rimborso forfettario del prestito.,it
139,Tiền taxi khoảng bao nhiêu?,vi
140,该吃午饭了。,zh_cn
141,Это может закончиться ничьей?,ru
142,Nous cherchons un contenu original.,fr
143,Eu estava um pouco apressado.,pt
144,¿Qué datos se recogen?,es
145,Das Unternehmen bietet hochwertige Transportleistungen.,de
146,Tom foi criado na Austrália.,pt
147,هذا خطأ بريء.,ar
148,看来是来了。,zh_cn
149,公務員です。,ja
150,Eu trabalhava na Austrália.,pt
151,よろこんで。,ja
152,وشريط الشعر من أجل Lily.,ar
153,إنّ Dreamers مقابل pritchetts!,ar
154,Ada cubaan membunuh Presiden Palmer.,ms
155,Découvrez le site internet ici.,fr
156,Em nói cũng có lý.,vi
157,简直是威胁。,zh_cn
158,Devo dire che non ci aspettavamo questo cambiamento.,it
159,Yao menatap punggung Seon Young.,id
160,ไม่เจ็บ,th
161,إلتهاب الأغشية المغطية للدماغ.,ar
162,Do ánh sáng từ camera?,vi
163,どうだった?,ja
164,당신 가족들 아주 지긋지긋해.,ko
165,Dobbiamo quindi lavorare di più in questo settore.,it
166,我打算做运动,zh_cn
167,Cela garantit sécurité et indépendance.,fr
168,بالمناسبة، أين المجرفة؟,ar
169,Вы ищите что-то опреденное?,ru
170,Jangan tembak tengah kali ini.,ms
171,مدرستي مليئة بهم.,ar
172,You don't look so desperate.,en
173,叫厨师过来。,zh_cn
174,Он поэт и новелист.,ru
175,够了还给我。,zh_cn
176,Hospitals are for rich people.,en
177,Dieses Produkt ist brennbar.,de
178,新製品です。,ja
179,But you wouldn't say it.,en
180,Propongo che ora si voti su questa questione.,it
181,Varios blog y portafolio.,es
182,อืม...,th
183,¿Cómo gestionar equipos de laboratorio?,es
184,Ce film vient du Brésil.,fr
185,"""Izin"" berarti izin pengoperasian bisnis.",id
186,Sana arkanı kollamanı söylememe gerek yok.,tr
187,Dia melakukannya di hadapan gereja.,ms
188,果然是真的。,zh_cn
189,Non vendiamo più questo articolo.,it
190,Я встретил ее на улице.,ru
191,Geçen hafta çok meşguldüm.,tr
192,İnsanlar gerçekten ülkelerinden gurur duysalardı oy verirlerdi.,tr
193,El suministro incluye un vaina.,es
194,정말 엄청난 카트라이더 팬이시네요!,ko
195,Parayı öylece 22 yetkiliyle paylaşmıyorlar.,tr
196,Molti di questi contengono sostanze chimiche altamente pericolose.,it
197,Ben ve kardeşlerim için sorun steroid değil.,tr
198,Điều đó không được tốt.,vi
199,次は誰ですか。,ja
200,Restoran için rezervasyon kabul ediyor musunuz?,tr
201,يا Cam، هذا Teddy.,ar
202,Tom pretende tornar-se professor.,pt
203,O Tom parecia estar tonto.,pt
204,나도 애들도 다 그러겠지?,ko
205,Я пришел издалека.,ru
206,"You can pray here, too.",en
207,Administre los activos de pruebas.,es
208,القليل من التعجب. لا.,ar
209,Bạn muốn trồng gì?,vi
210,혹시 룸 업그레이드하면 추가금은 얼마인가요?,ko
211,Cela en avait produit deux.,fr
212,"No, we've done that too.",en
213,Chị mới ngủ dậy được.,vi
214,쉬자는 말이 듣고 싶다는 거야?,ko
215,Tớ cũng thấy rất ngon.,vi
216,Aku kembali dari akademi seni.,id
217,Nhưng tôi sẽ làm được.,vi
218,Non accettiamo l'ordine di solo pane.,it
219,La consommation médicale est autorisée.,fr
220,صباح الخير، يا Lily.,ar
221,안 늦게 꼭 올 테니까.,ko
222,Estou na frente da padaria.,pt
223,Sanieren Sie Umgebung und Ernährung.,de
224,Você pode limpar a bagunça?,pt
225,Unsere Website wurde komplett überarbeitet.,de
226,おかわりは?,ja
227,"Kein Cheaten, Hacken oder Stören.",de
228,简历很独特。,zh_cn
229,"In caso contrario, sono d'accordo che dovrebbe essere rispedito.",it
230,And I won't say it.,en
231,Ihre Daten werden dann deaktiviert.,de
232,Wir investieren in erneuerbare Energien.,de
233,อ๊ะ,th
234,Mesin cuci ini rusak.,id
235,Cliquez sur l'entrée Applications .,fr
236,Мне нужно 4000 вон наличными.,ru
237,Im Browser entwickeln.,de
238,みんな元気?,ja
239,Peter'ın konuştuğu ses tonunu kim taklit edebilir?,tr
240,看不出来啊。,zh_cn
241,怒られたの?,ja
242,chán cậu ghê.,vi
243,Busca los datos habilitados.,es
244,Le développement dépend du savoir.,fr
245,Dieses System bietet nur Bosch.,de
246,Aku bahagia sekarang ini.,id
247,考试很简答。,zh_cn
248,NetApps publié Février données aujourd'hui.,fr
249,รูปดาวเหรอ,th
250,So sichern wir unsere Profitabilität.,de
251,"Bakanlık sözcüsü, biletlerin itfaiyecilerde kalmasına izin verilmeyeceğini söyledi.",tr
252,"Naturalmente, abbiamo anche cose meno dolci.",it
253,Le coût vaut la peine?,fr
254,Это была просто история.,ru
255,一体何こと?,ja
256,你先试试。,zh_cn
257,Hacemos sus pedidos fácil!,es
258,干脆我走吧。,zh_cn
259,8 игроков начали.,ru
260,คุณเข้าใจ,th
261,その次は?,ja
262,50/50,th
263,Votre programme est le meilleur!,fr
264,Yang mana rupa-rupanya telah dipalsukan.,ms
265,Futbolda başka bir oyuncuyu tekmelemek adil değildir.,tr
266,"Uyandığında, arama sesini duyana kadar kıpırdamamalıyım.",tr
267,Auch die Verpackung ist umweltfreundlich.,de
268,Spero che potremo gradualmente smettere di usare il carbone.,it
269,Pourquoi cette application ?,fr
270,よく眠れた?,ja
271,거기라면 필수 코스니까 무조건 가야지.,ko
272,Çocukken burada kamp yapardım.,tr
273,Nuestro técnico de sonido favorito.,es
274,คือ ขอโทษที,th
275,เฮ้ มาสิ,th
276,你冷静点儿。,zh_cn
277,Tottenham rất gần đây.,vi
278,Auf Datei Hochladen klicken.,de
279,И моя грудь болела.,ru
280,Aku akan tidur sekarang.,id
281,Tom me culpou pelo acidente.,pt
282,Dia ingin bekerja di NASA.,id
283,"Çin açısından bakıldığında, test bir zafer oldu.",tr
284,Potresti farci un po' di luce su questo punto?,it
285,ฉันทำหน้า,th
286,Tu correo electronico Requerido.,es
287,أنا مجرد مليونيرة بسيطة.,ar
288,Muitos deles não eram turistas.,pt
289,รอในแถว,th
290,No actualizar tus contactos.,es
291,C'est une société privée.,fr
292,Este proceso se denomina rendering.,es
293,Pria tersebut cerdas dan rajin.,id
294,Bạn định về quê à?,vi
295,¿Mi compra está garantizada?,es
296,Wir schließen die Komponente wieder.,de
297,Credo che dobbiamo guardare le cose come stanno.,it
298,Faremmo i compiti ora se ci aiutaste.,it
299,L'ensemble du système s'écroulerait.,fr
300,La technologie thermique se démocratise.,fr
301,Kemudian mayat menghilang dalam kegelapan.,id
302,Kirimkan saya foto nanti.,id
303,그럼 오늘은 해물탕에 한잔 하자.,ko
304,Este producto tiene muchos beneficios.,es
305,มันเป็นขยะ,th
306,犬は好き?,ja
307,Hier klicken für die Grundrisse.,de
308,But he refused the offer.,en
309,الآن، تعال هنا.,ar
310,"Yang menjengkelkan. Ada perbezaan, Renee.",ms
311,Tom akan patah hati.,id
312,Я покажу это тебе.,ru
313,Queremos medir sua pressão.,pt
314,これが好き?,ja
315,هل كان كذلك، حقًا؟,ar
316,Mi dispiace che debba finire con un disaccordo.,it
317,Si è ridotta l'amarezza rivolta al popolo giapponese.,it
318,Eu lhe darei uma receita.,pt
319,ジョージW。,ja
320,اصطدام حماسنا كان علامة.,ar
321,Es gäbe keinen Prozess geben.,de
322,Ontem minha bicicleta foi roubada.,pt
323,Siehe Kanal TRG online.,de
324,แสนรู้,th
325,Mach Dein smartes Produkt wertvoll!,de
326,Jangan bertele-tele.,id
327,Las partes son contratistas independientes.,es
328,Tiene que tomar un avión.,es
329,Le véhicule est immobilisé.,fr
330,بعض الصور تم التقاطها.,ar
331,Nós nos sentamos para almoçar.,pt
332,得拍电影啊。,zh_cn
333,Tiada bukti menandakan kami berbohong.,ms
334,Mình sẽ cố gắng tập.,vi
335,Mereka ditangkap apabila CTU dilumpuhkan.,ms
336,Он упал в реку.,ru
337,Dia membawa kanister senjata bio.,ms
338,"对,刚调走。",zh_cn
339,広くなるの?,ja
340,病気なの?,ja
341,DE Doxazosin Online bestellen?,de
342,คุณฉลาดมาก,th
343,Ayahnya mati dan ibunya menakutkan.,ms
344,仕事は順調?,ja
345,Su aplicación específica puede variar.,es
346,Медь и серебро считаются металлами.,ru
347,Yo preparé un programa distinto.,es
348,Osservi il pulsante cerchio sul lato destro della categoria desiderata.,it
349,赶快来接吧。,zh_cn
350,Ein iPad ist ebenfalls vorhanden.,de
351,He's never met his father.,en
352,Pardon. Adres sormak istiyorum.,tr
353,Questo è il numero del rapporto sull'articolo smarrito.,it
354,Nước chảy đá mòn.,vi
355,国会在开会。,zh_cn
356,Ihre Quelle online Zombie Spiele.,de
357,Sila teruskan. Saya sibuk seharian.,ms
358,Ieri abbiamo avuto una relazione sulla stessa questione.,it
359,Questo numero di persone dovrebbe essere diviso?,it
360,会喝点酒吧。,zh_cn
361,Nhớ là nước nguội nhé.,vi
362,Há 2 polícias no semáforo.,pt
363,脸又黄又肿。,zh_cn
364,Und Facebook laden auch.,de
365,简直走过去。,zh_cn
366,Les affaires vont au ralenti.,fr
367,"Sebenarnya, saya melihatnya begitu juga.",ms
368,And I don't trust you.,en
369,He wasn't born to it.,en
370,Itu tidak profesional. Ia keterlaluan.,ms
371,Dün gece alarm sebepsiz yere çaldı.,tr
372,Non osiamo farlo perché non possiamo imporlo.,it
373,หกโมงเช้า,th
374,Do you like video games?,en
375,Tom deitou na grama.,pt
376,なんでだよ?,ja
377,"Hebat. Bagus, saya suka bunyinya.",ms
378,Ich bin ein großer Golf-Liebhaber.,de
379,"Bolehkah awak cuma dengarnya, tolong?",ms
380,أنا عنيت معًا.,ar
381,私は食べた。,ja
382,Carry bedeutet Verkauf hier.,de
383,"Много смеха, совсем немного смущения.",ru
384,Tenho que contar ao Tom.,pt
385,He'll be back this evening.,en
386,Posso assicurarti che lo farò immediatamente.,it
387,30년 야구 인생이니까 당연하지.,ko
388,Usar los ahorros en emergencias.,es
389,L'ossature est d'un développement moyen.,fr
390,Bạn thật là đặc biệt.,vi
391,Tom dan saya saling menolong.,id
392,我跳过三次。,zh_cn
393,내일 상태 보고 가도록 할게.,ko
394,胳膊放这边。,zh_cn
395,할 수 있는 만큼만 할게요!,ko
396,"I mean,we go way back,right?",en
397,Но я тоже был бунтарем.,ru
398,Babam için çalışmış olması onu bir pislik yapmaz.,tr
399,La programmation est intuitive.,fr
400,Trocknen Sie die Pumpe ab.,de
401,"Ci sono 7 persone nel tuo gruppo, giusto?",it
402,Membeli beberapa alat atau makanan.,id
403,¿El aceite de motor expira?,es
404,Beowulf tornou-se rei dos Getas.,pt
405,我不识字。,zh_cn
406,Oyuncuların kontratsız oynamış olduklarına inanmadılar.,tr
407,Ein marxistisches Programm ausarbeiten.,de
408,警署教导所。,zh_cn
409,Mong là không khóc.,vi
410,낭만적인 분위기가 아마도 비슷하지 않을까?,ko
411,勘が当たった。,ja
412,그럼 안경을 쓰기 시작해야겠네요.,ko
413,TV ratings continue to decline.,en
414,He didn't say it back.,en
415,Yanlış numara için uzun uzun konuştun.,tr
416,それはいつ?,ja
417,"Я боюсь, это будет невозможно.",ru
418,تُحب Lily البط.,ar
419,Món chiên không tốt hả?,vi
420,Vocês querem estudar na Alemanha?,pt
421,Air pollution hurts my health.,en
422,我得戒烟了。,zh_cn
423,Das Gebäude bekommt ein Metalldach.,de
424,Tom nutzt Mozilla Firefox.,de
425,재계약 시점에 다시 이야기해 봅시다.,ko
426,Et il a coûté combien?,fr
427,Votre application devient productive.,fr
428,Tôi muốn thêm 2 topping.,vi
429,Gemideki diğer savaşçılara göz kulak olmanı istiyorum.,tr
430,Öğrenciler projeye belirli bir sonucu düşünerek başlamadılar.,tr
431,Dieser Film gibt die Antwort.,de
432,Em dẫn chó sang nhà.,vi
433,일기 쓰니까 초등학생 같고 좋다.,ko
434,Content Marketing ist viel Arbeit.,de
435,Было необычайно трудно разместить всех.,ru
436,È un regalo o un campione di prodotto?,it
437,He learned to speak English.,en
438,Nhớ đến nhà mình đó!,vi
439,Dobbiamo sapere cosa stiamo costruendo e perché.,it
440,저 카키 브라운으로 염색하려고요.,ko
441,看这是最后。,zh_cn
442,เขาล้มเหลว,th
443,Dobbiamo fare di più per interiorizzare i costi esterni.,it
444,Pindaan ke-25 memberikan dia hak.,ms
445,ما هو المشكل؟,ar
446,全くひどい。,ja
447,Ve o günün kraliçesi. Onu taçlandırmak zorundayım.,tr
448,흐리다고 비가 오는 건 아닌데.,ko
449,Tôi muốn thuê Ferrari.,vi
450,Presiden Alam Semesta. Pemimpin hebat.,ms
451,Installez le nouveau disque dur.,fr
452,İçeri girdiğimiz andan itibaren bize tepeden baktın.,tr
453,저희는 귀사에 입점해 있는 브랜드입니다.,ko
454,简直太热了！,zh_cn
455,لا تجعلني أوضح ذلك أكثر.,ar
456,وسأتبرع بكل المال الذي جمعته.,ar
457,Amanhã vou a Tóquio.,pt
458,جاهز للذهاب؟,ar
459,"Se non puoi, allora non possiamo votare.",it
460,ใช่ เขามี,th
461,Y Google ¿como lo haria?,es
462,Ich treffe dich am Flughafen.,de
463,Ông Trump vẫn chưa đến.,vi
464,ต้องแยกมัน,th
465,私の場合は?,ja
466,أمل ان أراك في US.,ar
467,Ожирение может привести к бесплодию.,ru
468,Permulaan sebuah perhubungan adalah sukar.,ms
469,Sudah tentu. Ianya mencetuskan sesuatu.,ms
470,Diese Webseite nutzt keine Cookies.,de
471,특별히 찾는 제품이 있으신가요?,ko
472,恋に落ちた?,ja
473,К новому изданию прилагается указатель.,ru
474,Redémarrez l'ordinateur si nécessaire.,fr
475,ฉันถูกโกง,th
476,Mein heutiges Unternehmen heißt TrustRadius.,de
477,Cliquez sur Support .,fr
478,どこ行くの?,ja
479,ไปได้สวย,th
480,Đặc biệt tránh nước cam.,vi
481,Das schafft Sicherheit und Vertrauen.,de
482,Unser Unternehmen braucht Verstärkung.,de
483,Faktor kejutan menambah keseronokan itu.,ms
484,ฉันชอบ Jane,th
485,関係ないね。,ja
486,Bienvenue à la fracture numérique!,fr
487,Chauff. via pompe à chaleur.,fr
488,Vous avez une entreprise agricole?,fr
489,넌 뭐 먹을 거야?,ko
490,He suddenly became very rich.,en
491,บอกมา,th
492,Agrega una impresora compartida.,es
493,سيسلمها Attalus دون محاولة حتى.,ar
494,Serangan-serangan terbaru ini hanyalah permulaan.,ms
495,Всего можно выиграть 10 медалей.,ru
496,Món Tiramisu thì sao?,vi
497,Bạn có biết giá tour?,vi
498,Сейчас идет бобслей двойки.,ru
499,ということは?,ja
500,これで最後?,ja
501,导演姜必宝。,zh_cn
502,駅の次です。,ja
503,Mai mình mua về cho?,vi
504,다음부터는 미리 준비해서 서두르자.,ko
505,外に出るか。,ja
506,Und im Preis inbegriffen.,de
507,Cartouches à installer dans l'imprimante.,fr
508,看起来很好。,zh_cn
509,"""Menteri"" berarti Menteri Komunikasi.",id
510,¡Este artículo es para ti!,es
511,Bisa kau tunjukkan komersial kita?,id
512,"Извини, я не жестокий.",ru
513,ขอ Big Mac,th
514,Sianida. Pasti ada dalam mulutnya.,ms
515,Exploiter de nouvelles technologies.,fr
516,Trồng giá với thuốc nhuộm!,vi
517,Bạn đến tầng hầm chưa?,vi
518,REINE Les entreprises nous pressent.,fr
519,좀 일찍 만날 걸 그랬다.,ko
520,Formisco insieme all'auto svariati pezzi tra cui cerchi originali ecc.,it
521,Tôi cũng nghĩ như cậu.,vi
522,Bazı içecekler sağlığınız için çok iyidir.,tr
523,Percibir la pensión mínima.,es
524,O barulho do trem esvaecia-se.,pt
525,Seberapa cepat koneksi Internetmu?,id
526,Amazon und eBay verkaufen online.,de
527,Güneşin denizden doğması şaşırtıcıydı.,tr
528,假装没听到。,zh_cn
529,Tom é muito bom nisso.,pt
530,Viele Menschenrechtsaktivisten wurden sogar inhaftiert.,de
531,Потребуется примерно 20 минут.,ru
532,Nơi nào đón taxi được?,vi
533,Descárgate nuestra aplicación GRATIS.,es
534,Créez un compte Twitter impactant.,fr
535,Nehir boyunca sürüklendik.,tr
536,Sie waren meine Spielfreunde.,de
537,"Trên bàn, ngay góc đó.",vi
538,Kapan pesawat ini mencapai Narita?,id
539,赶走女儿后。,zh_cn
540,Você deveria sair daqui.,pt
541,Недостаточно обеспечить занятость всех людей.,ru
542,Itu semua salah saya.,ms
543,Cho em hỏi ạ.,vi
544,"Possiamo verificare la tua identità con una patente, eccetera?",it
545,Lưu tệp dưới tên khác.,vi
546,سأُحضر Cranium.,ar
547,Tôi sẽ giữ sức khoẻ.,vi
548,حصل Manny على واحدة.,ar
549,局长请慢走。,zh_cn
550,"O, Pulitzer ödülü alan ilk ""rock"" müzisyeni.",tr
551,¿Planeando construir un sitio web?,es
552,Deine Kommunikation Fähigkeiten verbessern!,de
553,Un client disparaît.,fr
554,Seleccione una calidad de impresión.,es
555,Maalesef işe alım rakamları taahhüdü karşılamıyor.,tr
556,Большое количество людей уважает меня.,ru
557,Pakai bajumu.,id
558,ฉันถูกลวก,th
559,เสนอฉันมา,th
560,Aplicar una animación personalizada.,es
561,War Remo Reparatur MOV Angebote?,de
562,干净利索的。,zh_cn
563,"Ia agak mudah, bukan?",ms
564,彼女は誰?,ja
565,空手套白狼。,zh_cn
566,كان ذلك قبل عام.,ar
567,ฉันยางแบน,th
568,Saya punya pekerjaan baru.,id
569,Vậy còn màu khác không?,vi
570,¡Este sistema iba a estallar!,es
571,同一个比赛!,zh_cn
572,Tôi sẽ lấy pizza chảo.,vi
573,你舍得死吗?,zh_cn
574,Sanırım burada biraz haddimi aşıyorum.,tr
575,ไม่ใช่!,th
576,Tôi biết đặc biệt ít.,vi
577,"Здесь инновация, инновационный дизайн.",ru
578,Regarder fonds d'écran mobiles filles.,fr
579,Se permite HTML limitada.,es
580,Ela telefonou para sua mãe.,pt
581,Saya ingin melahirkan generasi seterusnya.,ms
582,vì đường đông quá.,vi
583,Kita dalam protokol kecemasan.,ms
584,Fiyatları düşürüldü ve çok düşük ödemeler yapıldı.,tr
585,Umarım biraz etraflıca düşünebiliriz.,tr
586,"Uh, mengharungi perpisahan-- mengharungi.",ms
587,"Saya akan berterus-terang, Puan Presiden.",ms
588,Et dégoter le bateau adéquat.,fr
589,经理好了啦。,zh_cn
590,Proporcionar información médica precisa.,es
591,"Sinon, le contenu serait exposé.",fr
592,Tom suka menunggang kuda.,id
593,Prestiamo particolare attenzione anche alle nostre stoviglie.,it
594,Was ist Cluster Computing?,de
595,Hayatları bir dağ silsilesi gibi önlerinde çizilmiştir.,tr
596,제가 제품별로 체크하고 말씀 드릴게요.,ko
597,"Sorun, binaların yönetimiyle ilgili zorluklarla sınırlı değildir.",tr
598,"John McCain, ekonomimizin büyümesi için vergileri düşürecek.",tr
599,Пекарня открыта.,ru
600,Incluído en los Gastos Médicos.,es
601,干嘛还给钱。,zh_cn
602,你自学的吗?,zh_cn
603,Aku orang yang suka kucing.,id
604,"Non so a questo proposito, si è rivelato essere così!",it
605,Начните с расшифровки генома.,ru
606,Ho appena caricato sul mio blog.,it
607,Это самка этого вида червя.,ru
608,No one actually works here!,en
609,Vậy mình đến đó đi.,vi
610,Entrez les informations de destinataire.,fr
611,Cosa dobbiamo fare per la riserva della ricevuta?,it
612,Você geralmente come em restaurantes?,pt
613,Wir haben viele Dinge gemeinsam.,de
614,Offriamo gratuitamente anche un contenitore per l'asporto.,it
615,赶紧收起来。,zh_cn
616,Thế cậu xem lịch đi.,vi
617,Bu beş yıl önceydi ve ileriye bakmamız gerekiyor.,tr
618,¿Quieres fotografiarme?,es
619,Aku suka berbicara dengan anak-anak.,id
620,Mover el producto cuesta dinero.,es
621,Steht mein Produkt unter Garantie?,de
622,Leur application est obligatoire.,fr
623,그럼 우리 집에 가서 먹자!,ko
624,Quale messaggio vorresti inviare tramite un telegramma di congratulazioni?,it
625,Tớ thích xoài ngọt hơn.,vi
626,เธอตาบอดสี,th
627,ゴミの日だ。,ja
628,どうするの?,ja
629,Qual vocês acham melhor?,pt
630,Quels frais sont couverts?,fr
631,La qualité est la priorité.,fr
632,Le ofrecemos posicionamiento Google Vinalesa.,es
633,Hastaneye gittiğimde doktorlar fıtık teşhisi koydu.,tr
634,Ces entreprises vendent un service.,fr
635,Séjournez en classe affaires !,fr
636,1人いくら?,ja
637,Официальный матч был обнародован.,ru
638,ไม่รู้สิ,th
639,"Se lo facciamo, ci metteremo nei guai.",it
640,Você tem um desses?,pt
641,玄成吃饭吧。,zh_cn
642,انا ذاهب لتنظيف أنفي.,ar
643,Ça sonne.,fr
644,La energía salvaje del Atlántico.,es
645,Le wifi ne fonctionne pas.,fr
646,"Inilah ""Sleep,"" paduan suara virtual.",id
647,Our teacher teach us English.,en
648,Pendakwaan terhadap Cik Woo digugurkan.,ms
649,내 결혼식에 와 줘서 고마워.,ko
650,Awak seperti telah tersingkir.,ms
651,حسناً، الآن رويداً.,ar
652,เฮ้ Brenda,th
653,Grantham ve Stamford üyesi bu işlerden sorumlu.,tr
654,"Nein, große Pfeile, riesige Pfeile.",de
655,"Oh, maafkan saya. Saya terdengar.",ms
656,具水焕巴下。,zh_cn
657,Мелодия переложил на ключ C.,ru
658,إنهم لا يعلمون.,ar
659,Ne cliquez sur aucun lien.,fr
660,أنت تبني واحدًا.,ar
661,Batmasa bile radarda görünecek.,tr
662,"Quanto mais brinco, melhor trabalho.",pt
663,Ce programme les concerne.,fr
664,Tôi muốn hủy cái vé.,vi
665,年息多少?,zh_cn
666,얼른 사서 올 테니 기다려.,ko
667,И я не одинок.,ru
668,مم، أنت على حق.,ar
669,"Siamo spiacenti, ma il coupon è scaduto.",it
670,景色太好了！,zh_cn
671,Zwischenzeile den Text auf.,de
672,真振奋人心！,zh_cn
673,Cinta adalah segalanya.,id
674,Chi oserebbe pronunciarsi contro una tale relazione?,it
675,Saya harus mengatakan padamu sesuatu.,id
676,İlk maddem bugün kullandığımız terminoloji hakkında.,tr
677,친절하게 알려 주셔서 정말 감사합니다.,ko
678,อย่าลอกฉัน,th
679,Я чувствую себя таким маленьким.,ru
680,Anak perempuanku belum pulang.,id
681,Ona yüz sutyenimin patentini almayı planladığımı söyledim.,tr
682,轻诺必寡信。,zh_cn
683,Votre appareil sera réutilisé.,fr
684,몰랐으면 착오가 있을 뻔했네요.,ko
685,Vui lòng chú ý thêm.,vi
686,Diese Anwendung wird es zeigen!,de
