labels,text,translated_text
en,"They are really nice and good material but, I’m not satisfied with this bc I order them brand new and they look like that and I’m sure they will get loses soon bc of the end not tight right. U can see in the pic.","그들은 정말 좋고 좋은 재료지만, 나는이 BC에 만족하지 않습니다. 나는 그들을 새 것으로 주문하고 그들은 그렇게 보이고 그들이 곧 잃을 것이라고 확신합니다. 사진에서 볼 수 있습니다."
bg,"модерната сграда печели няколко почитатели , но има свободна обиколка ( неделя и четвъртък , от 8 : 30 ч. до 2 : 30 ч . ) и можете да гледате дебатите ( понеделник до сряда , 4 : 00 до 7 : 00 ч . ) паспортите са необходими и за двете .","현대적인 건물은 몇몇 찬사를 얻지만 무료 투어(일요일과 목요일, 오전 8시 30분~오후 2시 30분)가 있고 토론을 볼 수 있습니다(월요일~수요일, 오전 4시~오후 7시). 둘 다 여권이 필요합니다."
vi,Hall nói rằng các học sinh sẽ làm điều kiện để xác định liệu người có đủ điều kiện cho sự trợ giúp pháp lý từ trla .,Hall은 학생들이 trla로부터 법률 지원을 받을 자격이 있는지 판단할 자격이 있다고 말합니다.
vi,Đó là một cái nhìn công bằng .,그것은 공정한 견해입니다.
sw,Juxtaposition hii ya ya ya serikali ya vyeo 16-na majengo ya karne ya 17 ilikuwa mara moja ya viwanja vya soko la moor .,정부의 16세기와 17세기 건물이 병치된 이곳은 한때 황무지의 시장 광장이었습니다.
sw,"Kipindi kipya , headquartered katika oakland , ilikuwa ni matokeo ya muungano kati ya san francisco mtaa wa kisheria ( sfnlaf ) , huduma za kisheria za jamii katika san jose , na msingi wa kisheria wa contra costa .","오클랜드에 본사를 둔 새로운 프로그램은 San Francisco Legal District(SFNLAF), San Jose의 Community Legal Services 및 Contra Costa Legal Foundation 간의 제휴 결과였습니다."
tr,Onlar için hissediyorum . Bizi çok kıskanıyorlar yoksa buraya olsun. hayatlarını riske çok değil ama çok şey riske attılar .,나는 그들을 느낀다. 그들은 우리를 너무 질투합니다. 그렇지 않으면 여기에 있습니다. 그들은 목숨을 걸었습니다. 많이는 아니지만 많이요.
sw,"Ofisi ya new york ya slate , ambapo jacob hung laptop yake .",Jacob이 노트북을 걸어두는 Slate의 뉴욕 사무실.
th,ใน ด้าน ที่สาม ของ จัตุรัส   ( ใต้ )   เป็น สิ่ง ที่ น่าสนใจ มาก   museu   de   arte   sacra   ( พิพิธภัณฑ์ แห่ง ศิลปะ ศักดิ์สิทธิ์ )   อยู่ ใน สิ่ง ที่ เป็น วัง ศตวรรษ ที่   17   เคย เป็น บิ ช อ พ ของ พักอาศัย   '   s   residence,광장(남쪽)의 세 번째 면에는 한때 대주교의 거주지였던 17세기 궁전에 있는 매우 흥미로운 Museu de Arte Sacra(신성 예술 박물관)가 있습니다.
sw,"Kwa watu wengi , akili sio neno chafu inaonekana kuwa katika nchi nyingine nyingi .",많은 사람들에게 지능은 더러운 단어가 아니라 다른 많은 국가에 있는 것 같습니다.
ur,راستہ کے طور پر ، اگر آپ کو لگتا ہے کہ کسی اور شخص نے میرے اکاؤنٹ میں لاگ ان کیا ہے ، تو میں اس کا استعمال کروں گا,"그건 그렇고, 다른 사람이 내 계정에 로그인했다고 생각되면"
fr,Sur les 4 lampes il ne m'en rest plus que 2 et cela en à un mois. Deux des lampes ont eu des problèmes d'étanchéité et je dois signaler que les piles s'usent rapidement. Je suis déçue par cet achat.,4개의 램프 중 2개만 남았고 그것도 한 달 안에 남았습니다. 램프 중 두 개에 누수 문제가 있었고 배터리가 빨리 소모된다는 점을 지적해야 합니다. 이 구매에 실망했습니다.
de,"Gutes Produkt, sehr praktisch. Abwaschbar und bei nicht Gebrauch einfach und platzsparend zu verstauen für den nächsten Urlaub mit Auto...!","좋은 제품, 매우 실용적입니다. 세탁이 가능하고 사용하지 않을 때는 쉽게 보관할 수 있으며 다음 자동차 휴가를 위해 공간을 절약할 수 있습니다...!"
hi,"स ् कॉटलैंड के संग ् रहालय के लिए टिकट , शाही संग ् रहालय के मुख ् य संग ् रह के लिए भी प ् रवेश करने की अनुमति देते हैं , जो स ् कॉटलैंड को स ् कॉटलैंड में लाने के संग ् रहपाल का उद ् देश ् य पूरा करते हैं , और दुनिया को स ् कॉटलैंड की दुनिया में .",스코틀랜드 박물관 입장권은 또한 스코틀랜드를 스코틀랜드로 데려오는 큐레이터의 목표 역할을 하는 왕립 박물관의 메인 컬렉션에 입장할 수 있게 해줍니다.
es,Sujeta bien el móvil pero el pedo le puede y se mueve,모빌은 잘 잡아주지만 방귀는 움직일 수 있고 움직인다
tr,"ABD ' ye ödeme yapan ABD , neredeyse her sanayileşmiş ülke ' den daha az vergi ödüyor",미국에 지불하면 미국은 거의 모든 선진국보다 세금을 적게 냅니다.
sw,"Miunganisho kati ya minyororo ya kisiwa ni maskini , kwa tofauti ya bandari ya piraeus na rafina kwenye bara la kigiriki , ambalo muabuduni kama barani wa usafiri kwa wale ambao wanatamani kusafiri kutoka kwenye mnyororo mmoja wa visiwa vya visiwa vingine .",한 섬 사슬에서 다른 섬으로 여행하려는 사람들을 위한 환승 항구 역할을 하는 그리스 본토의 피레우스 항구와 라피나 항구를 제외하고 섬 사슬 사이의 연결은 열악합니다.
nl,Een man reed met zijn auto.,한 남자가 차를 운전하고 있었다.
ar,"في الانتخابات العامة لعام 1919 , عدد كبير من "" سين ف في الجمهوريين اعيدوا الى البرلمان .","1919년 총선에서 다수의 ""CV"" 공화당원이 의회로 복귀했습니다."
el,"Από το 1978 έως το 1980 εξέτισε επίσης δύο χρόνια γραμματεία με τον αξιότιμο α . Ο λίον χιγκινμπόθαμ , ο νεότερος . , του εφετείου των ΗΠΑ για το τρίτο κύκλωμα .","1978년부터 1980년까지 그는 명예로운 . 레온 히긴보텀 주니어 , 미국 제3 순회항소법원."
bg,районът на рейн вали около лион е епицентърът на френската гастрономия .,리옹 주변의 라인강 계곡 지역은 프랑스 요리법의 진원지입니다.
ja,マキタの掃除機、インパクトドライバーを長年使用して満足しています。バッテリーが共通で使えるので替え刃の悪評を承知で購入しましたが、レビューの通りすぐに切れなくなりました。際刈りにしか使用していないので稼働時間は数時間です。替え刃は３千円以上するので頻繁に買い替える気になりません。切り口は引きちぎったようになり、もうはさみでチョキチョキ切った方が早いです。残念ですが１年で処分しました。,"마키타 청소기, 임팩트 드라이버를 오랫동안 사용해 만족하고 있습니다. 배터리가 공통으로 사용할 수 있기 때문에 바꾸어 칼날의 악평을 인지로 구입했습니다만, 리뷰대로 곧바로 끊어지지 않게 되었습니다. 깎기에만 사용하고 있기 때문에 가동 시간은 몇 시간입니다. 교체 칼날은 3천엔 이상 하므로 빈번하게 교체할 생각이 되지 않습니다. 커트는 끌어 당겨 졌고, 이미 가위로 조롱박을 자르는 것이 빠릅니다. 유감입니다만 1년에 처분했습니다."
bg,"какво ще кажеш за w. казва на трюдо , че го прави напълно ясно , че не му харесва , че изобщо не му харесва ?",w는 어때? 트뤼도에게 자신이 그것을 좋아하지 않는다는 것과 전혀 좋아하지 않는다는 것을 충분히 분명히 했다고 말합니다.
tr,"Jon , küçük adamdan sürekli etkilendi .",Jon은 작은 남자에게 끊임없이 매료되었습니다.
fr,Bon produit. Correspond à la description.,좋은 제품. 설명에 해당합니다.
nl,Een groep paarden die in een weiland grazen.,목초지에서 풀을 뜯고 있는 말 무리.
en,"This product does help with dry skin. However, I didn't care for the scent or the consistency. I'm sure it works well for others, just not with my personal taste.",이 제품은 건조한 피부에 도움을 줍니다. 그러나 나는 향이나 일관성을 신경 쓰지 않았습니다. 내 개인적인 취향이 아니라 다른 사람들에게는 잘 작동한다고 확신합니다.
es,"El original, el articulo lo recibi muy rapido y en perfecto estado . . . . . . . .","원본, 기사는 매우 빠르고 완벽한 상태로 접수되었습니다. . . . . . . ."
ar,وقد اضافت الجزائر والاتحاد السوفياتي السابق ايضا قدرا كبيرا من القدرة .,알제리와 구소련도 많은 역량을 추가했습니다.
it,Un treno multicolore su un binario.,트랙의 여러 가지 빛깔의 기차.
pt,"Assad adverte a Turquia do ""preço pesado"" pelo apoio aos rebeldes sírios","아사드, 터키에 시리아 반군 지원에 '큰 대가' 경고"
vi,"Điều cuối cùng chỉ là một đoán , tất nhiên , nhưng tôi có cảm giác là nó sẽ trở nên đúng đắn .",마지막은 물론 추측일 뿐이지만 제대로 될 것 같은 예감이 듭니다.
pl,"Amerykański Zarząd Konferencji stwierdził, że jego najnowsza miara zaufania do biznesu osiągnęła 60 po spadku do 53 w pierwszym kwartale badania.",US 컨퍼런스보드(US Conference Board)는 기업신뢰지수가 지난 1분기 53으로 하락한 뒤 60을 기록했다고 밝혔다.
el,"Μεταξύ του 1789 και του 1815 το παρεκκλήσι υπηρέτησε ποικιλοτρόπως ως αποθήκη με αλεύρι , μια λέσχη για υψηλή στυλάτοι , και τελικά ως αρχείο για το προξενείο του βοναπάρτη .","1789년에서 1815년 사이에 예배당은 밀가루 창고, 상류층 클럽, 마지막으로 보나파르트 영사관의 기록 보관소로 다양하게 사용되었습니다."
tr,Dört yıl boyunca severn yaşlılara eski mayınları tepelerde daha derin için istedi ama şimdiye kadar büyükler reddetti .,4년 동안 세번은 장로들에게 더 깊은 언덕에 있는 오래된 광산을 캐도록 요청했지만 지금까지 장로들은 거절했습니다.
ar,"المراة التي تريد الاجهاض تقول انه رحمها , وليس ( بات روبرتسون ) .",낙태를 원하는 여성은 (Pat Robertson)이 아니라 그가 그녀를 태웠다고 말합니다.
de,"Ist einerseits ein Film mit Spannungsbogen und andererseits geschichtlich interessant! Brad Pitt spielt sehr glaubwürdig, ebenso der Darsteller für Dalai Lama.",한편으로는 서스펜스가 있고 다른 한편으로는 역사적으로 흥미로운 영화입니다! Brad Pitt는 Dalai Lama 배우와 마찬가지로 매우 믿을만합니다.
vi,Các ưu đãi cho Lưu Huỳnh Dioxide phát ra công nghệ kiểm soát,이산화황 배출 제어 기술에 대한 인센티브
en,lasted quite a while with constant re-use. I'm genuinely impressed by these.,지속적인 재사용으로 꽤 오래 지속되었습니다. 나는 이것들에 진정으로 감명 받았습니다.
fr,Bonjour J'ai reçu un produit abîmé et non conforme à la photo sur votre site. Je suis très déçue,안녕하세요 사이트의 사진과 일치하지 않는 손상된 제품을 받았습니다. 너무 실망스러워
ar,ها هو تقرير ( دردج ) الذي انتج البرنامج التلفزيوني .,다음은 TV 쇼를 제작한 Dredge 보고서입니다.
en,"okay story, but not really grabbing me. Read it and another book at the same time and I have never done that before.",괜찮은 이야기지만 실제로 나를 붙잡지는 않습니다. 그것과 다른 책을 동시에 읽으십시오. 그리고 나는 전에 그것을 한 적이 없습니다.
ru,Район,구역
es,"Pensaba comprarlo para olvidarme de estar cargando con el dock y todos los cables que hay que llevar cuando se traslada la Switch, pero este aparato sólo sustituye al Dock, teniendo que seguir cargando con todos los cables y el cargador. Realmente cuando cargas el Dock con la consola no es incómodo, lo incómodo es llevar además todo el cableado. La verdad es que no ofrece tantas prestaciones como cabe esperar por el precio que tiene. Por la mitad de lo que cuesta este hay otras opciones que ofrecen lo mismo. No obstante, funcionar, funciona, pero no me soluciona gran cosa.","스위치를 옮길 때 들고다녀야 하는 모든 케이블과 독으로 충전하는 것을 잊고 싶어서 사려고 했는데, 이 장치는 독만 대체할 뿐, 계속해서 모든 케이블과 충전기로 충전을 해야 합니다. 사실 콘솔과 함께 Dock을 로드할 때 불편한 것이 아니라 불편한 것도 배선을 모두 들고 다니는 것입니다. 진실은 가격에 비해 예상만큼 많은 기능을 제공하지 않는다는 것입니다. 이것의 절반 가격에 같은 것을 제공하는 다른 옵션이 있습니다. 그러나 작동하고 작동하지만 나에게는별로 도움이되지 않습니다."
tr,"Nehir , dönem terası ve çiçek dağılmış bahçeleri ile harika görünüyor ve öğleden sonra çay keyfi için de yapıyorum",강은 그 시대의 테라스와 꽃이 만발한 정원으로 멋져 보이고 나는 또한 애프터눈 티를 위해 그것을 만듭니다.
pt,"Também pesou no mercado a notícia de que a General Motors GM.N planeava emitir 10 mil milhões de dólares em dívida, em parte para tapar um buraco no seu plano de pensões.",또한 General Motors GM.N이 100억 달러의 부채를 발행할 계획이라는 소식도 시장에 부담이 되었습니다.
vi,Yup họ rất nhiều um của một um mùa đông sản xuất đến từ nam mỹ tất nhiên các mùa của họ đã được chuyển đổi,옙 남미에서 온 움 프로듀서가 많네요 물론 시즌이 바뀌긴 했지만
it,Una donna sta aggiungendo olio sui pesci.,여자가 생선에 기름을 붓고 있습니다.
ar,كان لديها خنجر من الحجر البركاني .,그녀는 화산석 단검을 가지고 있었습니다.
en,It’s smaller than I expected so if you have a larger chest I suggest going a size up.,생각보다 작기 때문에 가슴이 크신 분은 한 사이즈 업하시는 걸 추천드립니다.
tr,"Çeşitli temalar uzay , sağlık , iletişim , tarım vb .","다양한 테마는 공간, 건강, 커뮤니케이션, 농업 등입니다."
th,ตอนนี้ ในขณะที่ เรา น้ำหนัก ขึ้น และ ดัน   setpoints   ของ เรา ขึ้น เรา ถูก ตั้ง โปรแกรม ให้ กิน มากขึ้น,이제 체중이 증가하고 설정값이 높아지면 더 많이 먹도록 프로그램되어 있습니다.
th,"มี การเปลี่ยนแปลง และ   [ คลีนิค ]   ได้ ช่วย ให้ เติม ช่องว่าง บางส่วน บอ กว่า เด นี่ พ่อบ้าน ,   ผู้ดูแล สำหรับ ศาล ที่ เหนือกว่า เขต ตะวันออก",변경이 이루어졌으며 [클리닉]이 일부 격차를 메우는 데 도움이 되었다고 동부 지방 고등법원의 행정관인 Deni Butler는 말합니다.
el,Υπάρχουν ισχυρισμοί ότι οι κινεζικές δωρεές σε μέλη του κογκρέσου επηρεάζονται την ψήφο του κογκρέσου του κογκρέσου για την ανανέωση του μεκ .,의원들에 대한 중국인 기부가 기계 갱신에 대한 의회 투표에 영향을 미치고 있다는 주장이 있습니다.
hi,अच ् छी तरह देखते हैं कि हम एक असली छोटे काउंटी क ् षेत ् र में हैं और आप जानते हैं कि एक बड ़ ा अंतर बनाता है,우리는 정말 작은 카운티 지역에 있고 그것이 큰 차이를 만든다는 것을 알고 있습니다.
nl,De man rijdt op een motor op de weg.,남자는 도로에서 오토바이를 탄다.
pl,Dziecko wczołgało się przez drzwi.,아기는 문을 기어서 들어갔습니다.
fr,Attention!!! Très mauvais vendeur commande jamais reçue! Ne faite pas confiance à ce vendeur. J'attends actuellement un remboursement. J'ai contacter plusieurs fois le vendeur sans jamais avoir de réponse de sa part!!,"경고!!! 매우 나쁜 판매자, 주문을받지 못했습니다! 이 판매자를 신뢰하지 마십시오. 현재 환불을 기다리고 있습니다. 판매자에게 몇 번이나 연락해도 답변을 받지 못했습니다!!"
fr,Je n’ai pas les mots.,단어가 없습니다.
ar,هذا الملازم الاكثر اخلاصا من عشيرة توكوغاوا ميز نفسه من خلال زرع غابة الارز حول في العسكريين في نيكو .,이 도쿠가와 가문의 가장 충성스러운 부관은 닛코의 군대 주변에 삼나무 숲을 심음으로써 두각을 나타냈습니다.
nl,"Ursel Reisen bevestigde dat het de bus bediende, maar gaf geen andere details dan te zeggen dat de passagiers van gemengde leeftijd waren.",Ursel Reisen은 버스를 운행하고 있음을 확인했지만 승객이 혼성이라는 것 외에 자세한 내용은 밝히지 않았습니다.
pl,"Grecja osiąga porozumienie z trojką, transza ratunkowa oczekiwana w ciągu kilku dni","그리스, 트로이카와 합의, 며칠 내 구제금융 예상"
hi,रेस ् तरां में वह रोटी टोकरी को साफ करता है और उसके पर ् स में सब कुछ हस ् तांतरण करता है ।,식당에서 그는 빵 바구니를 청소하고 모든 것을 지갑에 넣습니다.
ja,猫も喜んで遊んでました。 でも思ってたよりすぐにぼろぼろになりました。 綻びたところを食べてしまったらしくトイレの後、下から紐が便と一緒に途中まで出てきててビックリしました。便も翌日までゆるくなってました。 それからすぐしまいこんでます。,"고양이도 기뻐하고 놀았습니다. 하지만 생각했던 것보다 빨리 초라하게되었습니다. 깨끗한 곳을 먹어 버린 것 같아 화장실 후, 아래에서 끈이 변과 함께 도중까지 나와서 놀랐습니다. 항공편도 다음날까지 느슨해졌습니다. 그럼 곧 끝났습니다."
ar,"ربما , مع ذلك , لديك مذكرة للقبض عليه في جيبك الان , اقترح بوارو .",하지만 지금 주머니에 그를 체포할 수 있는 영장이 있을지도 모릅니다. Poirot가 제안했습니다.
tr,"Bir kaç saat sonra , alev dilleri artık ufkun üzerinde genişlemiş , gerçi parlak parlaklık devam etti .","몇 시간 후, 밝은 빛은 계속되었지만 이제 불꽃의 혀가 지평선 위로 확장되었습니다."
pt,"Mas aos 15 anos de idade, ela tinha atingido 260 libras e uma decisão difícil: Era tempo de tentar a cirurgia.",그러나 15세가 되었을 때 그녀는 260파운드에 이르렀고 어려운 결정을 내렸습니다. 수술을 시도할 때였습니다.
ru,"ДНК показывает , что неандертальцы не были нашими предками .",DNA는 네안데르탈인이 우리 조상이 아님을 보여줍니다.
zh,从来不评论，但是亚马逊的垃圾售后实在让人忍无可忍，退个货一直拖，一个月没结果，客服就让一直等，真爱生命，远离亚马逊,절대 댓글 안달지만 아마존 쓰레기 애프터서비스 진짜 못참아요 제품 반품이 늦어지고 한 달째 결과가 없네요 고객센터가 계속 기다립니다 저는 인생을 정말 사랑하고 아마존을 멀리합니다.
zh,不错，非常满意，同价位最好选择，就看质量如何能用多久了,나쁘지 않고 매우 만족하며 동일한 가격으로 최고의 선택입니다. 품질과 지속 기간에 따라 다릅니다.
it,"""Non abbiamo avuto nulla a che fare con la decisione interna del personale di @Stake"", ha detto il portavoce di Microsoft Sean Sundwell.","Microsoft 대변인 Sean Sundwell은 ""우리는 내부 @Stake 인사 결정과 아무 관련이 없습니다.""라고 말했습니다."
nl,Verwanten vechtpartij met politie na China brand doodt 120,중국 화재로 120명이 사망한 후 친척들과 경찰과의 싸움
pt,Dois cães a lutar na neve.,눈 속에서 싸우는 두 마리의 개.
hi,हाँ यह मजेदार नहीं होगा,그래 재미없겠지
tr,"Keşmir , hem hindistan hem de Pakistan arasında bölünmüş , hiç bir referandum bekliyor .",카슈미르는 인도와 파키스탄으로 나뉘며 국민투표가 기다리고 있지 않습니다.
de,"Sah auf dem Bild gut aus, Zuhause leider gar nicht. Habe es zurück gehen lassen, keine Kaufempfehlung.",사진상으로는 괜찮아보였는데 아쉽게도 집에서는 그렇지 않았습니다. 나는 그것을 다시 보냈고 구매 권장 사항이 없습니다.
ar,ولكم مستخدمو ني netscape ...,넷스케이프 사용자를 위해...
ar,"ويمكن للوكالات المشاركة في جهود التحول الرئيسية , مثل مكتب التحقيقات الفيدرالي , ودائرة الايرادات الداخلية , والادارة الوطنية للملاحة الجوية والفضاء ( ناسا ) ان تستفيد ايضا من هذا النهج .","FBI, 국세청, NASA(National Aeronautics and Space Administration)와 같은 주요 혁신 노력에 참여하는 기관도 이 접근 방식을 통해 혜택을 볼 수 있습니다."
el,Αλλά είχε τις διαταγές του : καμία επαφή με τους τρεις ταξιδιώτες εκτός αν υπήρχε φόβος για επίθεση .,그러나 그는 자신의 명령을 받았습니다. 공격의 두려움이 없는 한 세 명의 여행자와 접촉하지 마십시오.
nl,"een groep die voornamelijk blanke zuid-afrikanen vertegenwoordigt, afriforum genaamd, verklaarde dat ze protesten zouden organiseren langs de route naar Zimbabwe.",Afriforum이라고 불리는 대부분의 남아프리카 백인을 대표하는 그룹은 짐바브웨로가는 길을 따라 시위를 조직하겠다고 말했습니다.
vi,"Có hơn 156 loài động vật đang xem ở đây , với những thành công đáng chú ý trong sự sinh sản của những con tê giác nguy hiểm và hươu cao cổ rothschild .",이곳에는 위험한 코뿔소와 로스차일드 기린을 사육하는 데 눈에 띄는 성공을 거둔 156마리 이상의 동물이 전시되어 있습니다.
pt,O Texas processa os refugiados sírios,"텍사스, 시리아 난민 고소"
de,"Entspricht nicht den Erwartungen, Insekten sind trotzdem im Raum","기대에 부응하지 못함, 곤충이 여전히 방에 있음"
sw,"Hapana , alisema tommy thoughtfully .","아니, Tommy가 신중하게 말했다."
tr,"Biletini Al ve selamlar ' in turreted kapısından geç , daha iyi bilinen orta kap ? ? , veya orta kapı .","티켓 을 끊고 가운데 냄비 로 더 잘 알려진 그리팅스 의 포탑 게이트 를 통과 하세요 ? ? , 또는 중간 문 ."
zh,读第一章时，就有读不下去的感觉，不过还好第二章开始，就有一些解梦的实例，够精彩，才让我继续读下去。回头想来，这些个理论，什么前意识、潜意识，对我这个心理学门外汉，实在是对牛弹琴耳，以至后几章的理论部分都不知道在读什么。梦对我而言，倒是那句‘日有所想，夜有所梦’直接明了，所有的实例也证明了这点。而弗先生把这句话充分理论化了。,"1장을 읽을 때는 계속 읽을 수 없을 것 같았는데 다행히 2장 시작 부분에 꿈 해몽 사례들이 몇 개 있어서 너무 흥미진진해서 계속 읽었다. 돌이켜보면, 전의식과 무의식 같은 이론들은 심리학에 문외한인 나에게 정말 좋은 것이므로 다음 몇 장의 이론적인 부분에서 내가 무엇을 읽고 있는지 모르겠다. 나에게 ""매일 그것에 대해 생각하고 밤에 그것에 대해 꿈을 꿉니다""라는 문구는 나에게 직설적이며 모든 예가 이 점을 증명했습니다. 그리고 Mr. Ferrer는 이 진술을 잘 이론화합니다."
hi,"मैं एक निजी जासूस नहीं हूँ . ""","저는 사립 탐정이 아닙니다. ,"
ru,"Ответ аньоло , конечно же , заключается в том , что игра была под наследниками труман и Сталина , которые были осуждены играть по правилам холодной войны .",물론 Agnolo의 대답은 이 게임이 냉전 규칙에 따라 게임을 하도록 선고받은 트루먼과 스탈린의 후계자 아래 있었다는 것입니다.
sw,Lengo la mwisho la suti ya filegate inaonekana kuwa kwa matibabu haya juu ya hillary clinton .,파일 게이트 소송의 궁극적인 목표는 힐러리 클린턴에 대한 이러한 대우인 것 같습니다.
fr,"La qualité est là. Prémonté pour un iPhone 6. Très facile de changer, environ 6 min en tout si on l'a déjà fait une fois. Ce n'est évidement pas un Retina, mais même s'il est un peu plus ""fade"", côté technique ça fonctionne bien. Je recommande pour le prix.","품질이 있습니다. iPhone 6용으로 사전 조립되어 있습니다. 매우 쉽게 교체할 수 있습니다. 한 번 교체하면 총 6분 정도 걸립니다. 분명히 Retina는 아니지만 조금 더 ""부드러운"" 경우에도 기술적인 측면에서는 잘 작동합니다. 가격대비 추천합니다."
sw,Na kuwafanya watoto wao wakae huko sisi katika eneo ambalo hiyo kulipa kidogo kama saa mbili kwa saa ambayo bado ni dola tano saa moja kwa wawili wa watoto wetu na it ' s fun tunajaribu keep kiwango cha chini,그리고 그들의 아이들이 시간당 2시간밖에 지불하지 않는 지역에 머물게 하기 위해 우리는 요금을 낮게 유지하려고 노력합니다.
el,"Περισσότερο από ένα χρόνο μετά την επίσημη ενσωμάτωση της κοιλάδας san gabriel-Πομόνα , η dudovitz δεν είχε τοποθετήσει τοπικό κάτοικο στο Συμβούλιο Νομικών υπηρεσιών της γειτονιάς ή έκανε τους γύρους της ιδιωτικής νομικής κοινότητας για να προσλάβει τους εθελοντές δικηγόρους .",San Gabriel-Pomona Valley가 공식적으로 통합된 지 1년이 넘도록 Dudovitz는 인근 법률 서비스 위원회에 지역 주민을 배치하지 않았으며 민간 법률 커뮤니티를 순회하여 자원 봉사 변호사를 모집하지 않았습니다.
ur,کیونکہ آپ جانتے ہیں کہ ہر قسم کی مخصوص رپورٹس کے ساتھ ایک مسئلہ پیش آگیا اور اس طرح کی کم از کم ایک مسئلہ ہے اور جو کچھ اس کی وجہ سے ماضی کے بارے میں ہے ۔,모든 종류의 특정 보고서에 문제가 있고 그와 같은 문제가 하나 이상 있고 그로 인해 과거에 관한 문제가 있다는 것을 알고 있기 때문입니다.
ru,"Использование результатов служебной деятельности в качестве основы для оплаты труда , наград и других кадровых решений .","급여, 포상 및 기타 인사 결정의 기준으로 성과 사용."
en,Works as advertised. Will put it to the real test in next few weeks to find out how long the battery lasts when fully charged and used in ordinary functions sans hooked up to power,광고된 대로 작동합니다. 완전히 충전되고 전원에 연결되지 않은 일반 기능에서 사용될 때 배터리가 얼마나 오래 지속되는지 알아보기 위해 다음 몇 주 안에 실제 테스트에 투입할 것입니다.
fr,S endormir sous un ciel étoilé et coloré apaise. Le minuteur est idéal pour que cela aide à l endormissement.,별이 총총하고 형형색색인 하늘 아래서 잠들면 마음이 편안해집니다. 타이머는 잠드는 데 이상적입니다.
tr,"Modern bina birkaç hayran kazanıyor , ancak ücretsiz bir tur ( Pazar ve perşembe , saat 8 : 30-2 : 30 arası ) ve tartışmaları ( Pazartesi , saat 4 : 00-7 : 00 arası ) izle . Pasaportlar gerekli darısı başına","이 현대적인 건물은 몇몇 팬을 확보하고 있지만 무료 투어(일요일 및 목요일, 오후 8:30-2:30)와 토론(월요일, 4:00-7:00)을 시청합니다. 여권 필수 기장 당"
