id,inputText,lang,confidence
128,lift gate,en,1
129,baptised,en,1
130,myisam,vi,0.5683019
131,"That was because no matter how he exerted his strength, he still could not shake the little brat in front of him in the slightest.",en,1
132,deflator,en,0.9886548
133,PSE,en,0.7161459
134,underperformed,en,0.80816966
135,galactose,en,1
136,SOGO,ms,0.52509654
137,crazes,en,0.7535079
138,five yards,en,1
139,"At the same time, I passed the College English Test Band 4 and Band 6 (CET 4 and 6)and the Putonghua Proficiency Test.",en,1
140,"> Otherwise, latest update that FATP IQC also found 6x faitures and all from Biel.",en,0.94373304
141,1 Gigabyte (GB) = 1024 MB,en,0.57862556
142,Fujifilm 4700 Zoom 2.2MP Digital Camera - Silver,en,0.95474476
143,Shawn,en,1
144,"If the RMB depreciates, it’ll have both positive and negative effects on enterprises.",en,1
145,incentivised,en,1
146,Certified Subcontractor Appendix to Certificate No.,en,1
147,claim gold,en,1
148,taking,en,0.9877066
149,choranaptyxic,en,0.517412
150,(UTC +8:00) Australian,ilo,0.7064752
151,Most studies of the internet and social media are based on research methods that assume we can generalise across different groups.,en,1
152,bloah,en,0.72637683
153,noia,"['pt', 'es']","[0.49019608, 0.34117648]"
154,D. bond,en,0.7826484
155,"pledge,",en,1
156,asked Ricky.,en,1
157,barracout,en,0.7114261
158,"interface, use the \"";\"" \""\"" to select the",en,1
159,Nefret Shikaar,gu,0.88321686
160,solar system.,en,0.76731
161,discovered that each is constructed of a microlattice (P(HA) structure so,en,1
162,unsure,en,0.96617085
163,8 Bones overlaps manager,en,1
164,Tiada hotspot,ms,0.94489557
165,41 left but the brightness of her sunken eyes.,en,1
166,C 7.,en,0.9656084
167,"Ballard (2000) presents LPS as a system of control, which causes the realisation of plans and which therefore also ensures the manager's responsibility to handle both contract management and production management.",en,1
168,197K,"['en', 'bg']","[0.46945474, 0.4519924]"
169,transmute,en,1
170,2. under the name …用⋯•• 3. take part in ….,en,1
171,vulnerability.,en,1
172,00:27 / 01:45,en,0
173,MUNDAN,tk,0.95719844
174,Apple Silicon,en,1
175,your company also shares them.,en,1
176,Trendy,sk,0.55773765
177,zlibrary,en,0.9793878
178,YOUR INITIATIVE SHALL,en,1
179,Janitorial,en,1
180,Career objective,en,1
181,1.5V Alkaline Battery,en,1
182,"Old MacDonald had a farm, E-I-E-I-O!",en,0.9594648
183,Install AutoDesk POWERMILL 2017 (64bit)2.,en,0.9692159
184,migrants,en,0.9869792
185,swipes,en,1
186,Anggota ASEAN Working Group “Mutual Recognition Arragement of Professional Engineering”.,en,0.8499851
187,In essence,en,1
188,repels,en,1
189,"A cadmium metal-organic framework, ie.,",en,1
190,National Center for Biotechnology Information,en,1
191,At Hurstville Highpoint MC we offer online bookings.,en,0.98106617
192,slender as a tulip,en,0.9667532
193,maquis,fr,0.62352943
194,Content v,en,0.9565372
195,ash,en,1
196,STV-120M,"['de', 'en']","[0.36440775, 0.36048234]"
197,"81100 Johor Bahru, Johor",ms,0.9778004
198,Russian Blue Kittens for Sale,en,1
199,ILY.,en,0.8932292
200,"/opt/agw/MixSensorLoc coredump, signal 6",en,0.9375355
201,680•,en,0
202,Recursive,en,1
203,either,en,0.97189295
204,"50,000-word",en,0.9098039
205,LInaNI-,xh,0.8203125
206,19botany,en,0.66867113
207,oppressive regimes,en,1
208,beliefs in elves declined rapidly (though Iceland has some claim to continued popular belief in elves).,en,1
209,"“She is just playing around,” he laughs.",en,1
210,us ….,en,1
211,considerable,en,1
212,In nature,en,1
213,"In this new, digitalised landscape, it is difficult to discern when a shopping “trip” starts and when it ends.",en,1
214,powersave,en,1
215,Industria,es,0.26953125
216,My first point is (Write down your first point/argument.),en,1
217,regloved,en,0.9673554
218,"It is famous for its fresh seafood, such as crabs, prawns, and sea clams.",en,0.98969764
219,"HAMA NAKA MOTOGAWA(KUNSHAN) CO., LTD.",ja,0.45607215
220,Men being triggered part,en,1
221,Psychosocial Stress,en,1
222,A value,en,1
223,And dang what you gotta do that's gonna take that long,en,1
224,Gene guns,en,0.757183
225,antiphagocytic,en,1
226,Pedal Laceration,en,0.98822165
227,Endomembrane,en,0.8681445
228,SpecificityofEnzyme,en,0.9614077
229,"poems which were bestsellers in Shakespeare's lifetime, but",en,1
230,consulate,en,1
231,Holocene,en,0.6931461
232,I ate,en,1
233,conflate,en,0.9585791
234,auction,en,0.95965934
235,Cartrige,en,0.60051095
236,cheer up :),en,0.9730738
237,Gg Hh li,en,0.7286601
238,]u,en,0.7613333
239,Nice jumping 🦘🦘🦘🦘🦘🦘🦘🦘🦘🦘🦘,en,0.9532336
240,"tobacco mosaic virus,",en,0.8299925
241,Heterotrophic.,en,1
242,Root-Knot Nematode,en,1
243,petechia,en,0.594604
244,weeds.,en,1
245,Word Count: 0,en,1
246,"Alpaca 40%, Polyamide 35%, Wool 25%",en,1
247,"Bal.:2,701,894",en,0
248,48 ÷ 4,en,0
249,AYMA2 JIL,ar,0.53339773
250,Do you know there are some lovely changes in our school library?,en,1
251,Peroxisome,en,1
252,exploiting,en,1
253,AED 199,en,0.90183246
254,Gatlin,en,0.7044513
255,Follow-up,en,1
256,"I am not sure where we go with all of this, the operation itself would be relatively straightforward for her, I do not imagine that there would be these sorts of complications, but we have to be honest and open and there is a possibility that we might get into trouble and that she might need a stoma as a way out.",en,1
257,"appeal,",en,1
258,Computer programs,en,0.96889114
259,11/2/2021,en,0
260,"; Uygut, M.A.",en,0.97479707
261,Ogbuefi Ezeudu was a great warrior in his youth and now delivers messages from the Oracle.,en,1
262,hemianopia,mi,0.4720663
263,disamic Cuture,it,0.7034781
264,outstandingterms,en,0.957145
265,filtration,en,1
266,But something was malfunctioning in the,en,1
267,for fun,en,1
268,monosyllabic,en,0.9384404
269,Complications : ➢Joint destruction.,en,1
270,August Comte,en,0.538991
271,representsthegeneticmaterialofallcellularorganismsandmostviruses,en,0.94395614
272,"VIOLET 2), CI 17200 (RED 33), CI 19140 (YELLOW 5).",en,0.92154974
273,4-In organic Chemistry,en,1
274,harm❖ .ranging,en,0.953654
275,"Provides contrast to unstained tissue,so",en,1
276,And the impact to our bottom line and our reputation could be devastating.,en,1
277,zasai,lus,1
278,Squamous,en,1
279,planetarium,en,0.98013246
280,Jamal Musiala (BMU),pl,0.6299528
281,the preoperative,en,1
282,Sensory,en,1
283,mesharii0⁦,sq,0.7634242
284,Stator windinos,en,0.8530848
285,psychomotor,en,1
286,inoculating,en,1
287,tartaric,en,1
288,This book cannot be re-exported from the country to which it is sold by McGraw-Hill Education.,en,0.9747055
289,extracellular matrix.,en,1
290,special basis,en,1
291,Ms E Venter,"['da', 'en']","[0.37080106, 0.34002602]"
292,Mharc,cy,0.7411765
293,dryly,en,1
294,"$48,500",en,0
295,We are sorry for the delay in answering you.,en,1
296,"times, pero","['es', 'en']","[0.37700763, 0.37398395]"
297,"other DTCs are found, inspect the C-34 connector",en,0.9513371
298,Someone called 911 around 11:40 p.m.,en,1
299,hungertrong manuel ferrara michael,en,0.30081186
300,Stabilizing the Neonate,en,1
301,GrOW Program Requirements,en,1
302,Arachnodactyly,en,1
303,• Gender,en,0.6425338
304,iodide (T),en,0.65707266
305,altered.:,en,1
306,"resource,",en,1
307,"As you did not respond to our request for information in time, we have now closed the investigation into this problem and resumed the payment plan for this order.",en,1
308,Reff :,id,0.48046875
309,Search this name on the T4A GPS maps or your,en,1
310,"𝖲𝗁𝖾 𝗐𝖺𝗇𝗍𝖾𝖽 𝗍𝗈 𝖼𝗈𝗆𝗉𝗅𝖺𝗂𝗇 𝖻𝗎𝗍 𝖽𝗂𝖽𝗇'𝗍 𝖽𝖺𝗋𝖾 𝗍𝗈 𝖽𝗂𝗌𝗈𝖻𝖾𝗒, 𝗍𝗈𝗈 𝗌𝖼𝖺𝗋𝖾𝖽 𝖺𝗇𝖽 𝖽𝖾𝗌𝗉𝖾𝗋𝖺𝗍𝖾 𝗍𝗁𝖺𝗍 𝗁𝖾 𝗐𝗈𝗎𝗅𝖽 𝗅𝖾𝖺𝗏𝖾 𝗁𝖾𝗋 𝖺𝗇𝖽 𝗁𝖾𝗋 𝖻𝗎𝗂𝗅𝗍-𝗎𝗉 𝖺𝗋𝗈𝗎𝗌𝖺𝗅.",en,1
311,pharmaceuticals,en,0.98948747
312,Bordetella.,en,1
313,"to surrender.\""",en,1
314,_Select-,en,0.98822165
315,Cluster analyses,en,0.9138415
316,parietal bone,en,0.8920296
317,stoppedby,en,0.71183455
318, To be on hemodialysis until transplantation,en,1
319,spiky hemispher,en,0.8274683
320,"$,(#1$*(%'+9+''8$:*%&$'\""0&$",en,0
321,U okay,en,1
322,PRIJATELJI,"['hr', 'sl']","[0.60465115, 0.375969]"
323,Redden,en,0.81380206
324,eye orbit,en,1
325,Supporting individual bid teams in the production of winning responses,en,1
326,0*/% *.,en,0
327,aniviranmany,mg,0.41349608
328,2016-07-27,en,0
329,Harry Potter.,en,0.8761841
330,SPERM MORPHOLOGY,en,1
331,For example?,en,1
332,resistor,en,1
333,They are also separated by different rarities which dictates their prices as well.,en,0.96454114
334,initiated,en,1
335,"No editing, no photo shop, just real results!",en,1
336,Prowar,en,0.6642958
337,As acceptance criteria in Capital Budgeting,en,1
338,Meningocele,en,0.22606203
339,«000» (PC.17).,en,1
340,Himno,es,0.34387353
341,Mas’r,ms,0.5008217
342,suggested,en,1
343,Stature,en,1
344,309 (2 Towels),en,1
345,􏰄􏰌􏰃􏰂􏰏􏰊􏰂􏰉􏰎􏰍 􏰂􏰗􏰏 􏰊􏰏􏰅􏰅 􏰠􏰌􏰃􏰈 􏰉􏰂􏰇 􏰏􏰪􏰂􏰌􏰆􏰊􏰏􏰅􏰅􏰕􏰅􏰆􏰌 􏰏􏰎􏰘􏰉􏰌􏰃􏰎􏰈􏰏􏰎􏰂􏰒,en,0
346,pseudocode,en,1
347,precious...,en,1
348,Enzymes useful,en,1
349,attractions,en,1
350,contralateral adrenal gland,en,1
351,European explorer William Gosse called the rock Ayres Rock in 1873.,en,1
352,What do you think of him?,en,1
353,3.19359E+11,ar,0.97720504
354,KEGENOS,lt,0.43494907
355,consatant,la,0.82790464
356,All our coaches have power outlets.,en,1
357,Receipt: 663530016038064920220328122116 is registered successfully.,en,1
358,the graffiti.,en,0.7989001
359,👾🤕💩😮‍💨💩🤖😻👺🤕🤮🤮🤖🤑😼🤑☠️😼👺😻💀🤖😾👮🏿‍♂️👮🏿‍♂️👵🏾👷🏿‍♀️🧓🏼🤌🏼🤌🏼😻😻💀🎃😾👺👹😓😮😱😬🤬🥶🤬🥶🤫🥳🥰🧐🥺🧐🥺🧐☹️🥸🤨🥸🤨☹️🤨☹️😌🧐☹️🧐☹️🧐😛😞🥰🧐😞🧐😔😞😣🥰😉😣🧐☹️😇🤓🥰☹️😞🤩😌😗🤪😗🧐☹️🥰🧐🥸☹️🥰🧐😌😒😉🧐😒😌🧐😒😒😌🥰🧐😞🤩😉😞😌😋🧐😉☹️🧐☹️🥳☹️🥸🥸😚🤪🥸😇🤩🤩😇🤨😔😘☹️🤩😄🥰😄😍🤣🤣😄*️⃣❤️❤️😍😒👀😌💉😉🤣☠️😉❤️🤣😊😌😃😃😊😅❤️😃😍😊😃😍❤️😃🔗❤️😃🔗❤️🔗👀😃😞😃☠️😔😃🔗❤️😃🔗👀😃🔗❤️😃🔗❤️😃🔗❤️😃🔗❤️😃🔗❤️😃🔗❤️😃🔗😊😃😍☺️😍💉💉❤️😃😍😍😍😊😃🤨😒😍😊😃😉☺️🔗😊‼️,en,0
360,Secondary Email:,en,1
361,800 CNY,en,0.9545454
362,Eteplirsen,hu,0.33777803
363,Jeremiads,en,0.93321824
364,PREGNANCY PAUSE FACIAL MEDIUM,en,1
365,"09,02:54.297",en,0
366,stepS,en,1
367,15 FP CASH,en,0.94073546
368,thermal pollution),en,1
369,>2.,en,0
370,(Non suffienet Funds),en,0.81251085
371,insomniac,en,1
372,TNJB,ar,0.7820297
373,Tangerang,id,0.98046875
374,Store Assistant - Riyad,en,0.64607275
375,Sympto ms,en,0.94634414
376,Prayer Timer,en,0.8216391
377,i love u besties,en,0.97439486
378,convection,en,0.98106617
379,Bigeminy,ru,0.6437019
380,mental disorder[,en,1
381,VAT Invoice,en,0.3701569
382,"The more devices (projections range in billions) that need to be connected, the more bandwidth, coverage, storage, memory, and sense-making will be needed.",en,1
383,EDTA-K2,en,0.86907816
384,"Pamela,",en,0.16933446
385,Akka,om,0.9604743
386,nucleic acids,en,1
387,West Sudan,en,0.6286707
388,Gif,en,0.9652407
389,Smelt,en,0.904824
390,cardio tonic glycoside (increase the tone of heart muscle),en,1
391,Tacol,ro,0.33681408
392,gum.: 3-4½,en,0.95953
393,Jai Ram,fr,0.19273774
394,outermos,el,0.6893206
395,Spam me,en,0.98411536
396,rueful,en,0.88525563
397,Ajar.,en,0.7539474
398,Essbase cube embedded,en,1
399,bale,en,0.94054055
400,forgetit,en,0.47223726
401,gyosas,en,0.4694305
402,"$+(*&\""*W(8\""#63.\""(",en,0.7989556
403,by me,en,1
404,sPartner=GORE003,en,0.37138072
405,worst,en,1
406,koumbara,bm,0.20930773
407,LMO,da,0.7081712
408,Mbi B nepMe.,en,0.22942649
409,18g isem,mt,1
410,CONTROX- Maalinpoistoaineet,fi,0.94274616
411,-heel/sneaker/boot worship,en,0.7817391
412,"Again, faultless experience.",en,1
413,babywoe,"['nl', 'en']","[0.49199632, 0.35359183]"
414,4 313 488,en,0
415,Location of the city (on a map of the UK) > You can use,en,1
416,I caaann beee whhyy uu waaanntt mee too beee,mr,0.68429226
417,determining,en,1
418,succirubra,co,0.4414108
419,uniflorum,la,0.68443346
420,Fragile bone.,en,0.6088935
421,"And delves the parallels in beauty's brow,",en,1
422,arrow_downward,en,1
423,"1] Gō, which means hard, refers to closed hand techniques or straight linear attacks; jū, which means soft, refers to open hand techniques and circular movements.",en,1
424,SHEYAR,hi,0.96875
425,https://www.bankofscotland.de/service-und-kontakt/kontakt,en,0
426,organic molecules,en,0.98710054
427,antifungal drug,en,0.8725191
428,"211,40 TRY 0,79 TRY",en,1
429,Goodbye baby,en,1
430,Congratulations dear Layla,en,1
431,JQ 776,en,0.9893758
432,"Get Up, StaNd Up!",en,1
433,IMJUST,"['de', 'en']","[0.47391132, 0.41167107]"
434,03-03-2022 | Transport,en,0.98933333
435,Qartuli,so,0.57207453
436,urge over,en,1
437,Certain painkillers,en,0.97971326
438,SORROWFUL,en,1
439,300492115300003,en,0
440,borborygmi,lt,0.25140193
441,chasethelaw,en,0.34485915
442,Acute,en,1
443,Spontaneous generation,en,1
444,microcytic,en,1
445,parctise,en,0.48617676
446,PIPE-FORK INNER,en,0.9881584
447,WANK,en,1
448,"gherkin,",en,1
449,conjurer,en,0.95703125
450,excitation,en,0.9895833
451,56100 Kuala Lumpur.,ms,0.7703906
452,Oxalate are natural anticoagulant,en,1
453,lost.,en,1
454,I wanna babe,en,0.9873734
455,a single tribe,en,1
456,PePpa PePpa PePpa PePpa,sv,0.39848217
457,=1$66,en,0
458,Duration Sampled: 229.53s,en,1
459,Eww,en,0.9631579
460,hyosine,"['ar', 'en']","[0.4942881, 0.43877372]"
461,-extoliation,en,0.9498107
462,"Principle Engineer, HVAC",en,0.9685631
463,Near Mint,en,0.75399625
464,halide,en,0.9739583
465,flees,en,1
466,BOAT,en,1
467,Uzafa,zu,0.8352969
468,Bareboat,en,0.9707913
469,Clinical engineering,en,1
470,tWRBhAwEiwALxFPoTOTjKaKRWRiFwY8sEB5r32LSYRVpvn6S3Tjc2Ogn3xGyhpsAQ9K6BoCuW0QAvD,en,0.22998694
471,spawn,en,1
472,Bagetid ca. 15-20 min.,da,0.968177
473,I LOVE,en,0.98419976
474,100000000000000000000000000000000000,en,0
475,"This new technology enables a discrete 5-channel playback with 2 front left and right channels, 1center channel, and 2 surround left and right channels(instead of only 1 surround channel for conventional ProLogic technology).",en,1
476,"Acta Materialia 181, 99-109 (2019)",la,0.9513779
477,kinetic,en,1
478,h0mogeneous,en,1
479,"To utilize global word co-occurrence informa- tion, we use a fixed size sliding window on all documents in the corpus to gather co-occurrence statistics.",en,1
480,My anger tends to come out suddenly in,en,1
481,cardiology,en,1
482,92 1 07:26,en,0
483,5.assume,en,1
484,B.Now that,en,1
485,Analyst Programme,en,0.60358053
486,digital projector,en,0.97165823
487,tippy,en,1
488,(25A),"['en', 'ar']","[0.5686084, 0.43139157]"
489,Frontier Inspection,en,0.98055667
490,"\""in eyes tinse thoroughy.",en,0.9330736
491,yoga,en,1
492,“And I certainly will never give you any such promises.,en,1
493,Nice bike.,en,1
494,TERMS & CONDITIONS OF EMPLOYMENT,en,1
495,"Budaya lokal perlu didokumentasikan dan diajarkan kepada generasi berikutnya untuk menghindari kehilangan budaya lokal di wilayah setempat.AbstractLocal potentials that exist around the school, in general, have not been maximally utilized as a source of biology learning.",id,0.87360656
496,"Cinchona bark, Sandalwood, Rauwolfia roots, Nux Vomica seeds",en,0.81627357
497,far-leftist,en,0.9747982
498,"Your application was reviewed by the relevant programme admissions tutor whose decision was made after careful analysis of all relevant areas, including your academic qualifications, relevant life and work experience, personal statement and academic reference.",en,1
499,polyglots,en,0.9671686
500,tolarate,en,0.63432467
501,- Accounts payable,en,1
502,"Besides,",en,0.98716927
503,knock-on effects,en,1
504,"300,000 YARDS",en,1
505,Damn smh,en,0.9366703
506,reclaims,en,1
507,graphs,en,1
508,"5 If the piston (7) needs to be replaced, remove retaining ring (23) and mount the new piston rod (7) with new piston ring (24) on the piston head (8).",en,0.96157056
509,dynaboo,en,0.69156337
510,Impetigo,en,0.96510065
511,Let me help,en,1
512,Amv,en,0.96912754
513,Gender (if it need),en,1
514,drink water,en,0.962836
515,xart 19 05 09 lilliane flash dance 4k,en,0.25713387
516,"BINHAI NEW AREA, TIANJIN , CHINA",en,0.34218913
517,haloes,en,0.4935864
518,Unigram,pt,0.9773424
519,The 2026 Winter Olympics will take place in the Italian cities of Milan and Cortina d'Ampezzo.,en,0.96945727
520,https://www.nike.com/kr/ko_kr/,en,0
521,admire.,en,1
522,Roasted pumpkin | Goat cheese | Beetroot|,en,0.9636034
523,↓I mean it!,en,1
524,Proprietary,en,1
525,Non-Adjacent,"['en', 'fr']","[0.41262573, 0.3908754]"
526,Rosymorn,en,1
527,Bansomdej Chaopraya Rajabhat University (BSRU),gu,0.4437527
528,Harvey J.,en,0.9528805
529,vege-capsule,en,0.8030407
530,phonemic contrast,en,1
531,P.A,en,0.87889075
532,2- Quantitative analysis: is a method used to determine exact amount.,en,1
533,- Integumentarysystemordermatology,en,0.95569265
534,apocalypes,en,1
535,"Oslobodjenja 137, 11000 Belgrade, Republic of Serbia",bs,0.7950029
536,grip,en,1
537,"Warning; hard seggs, HanKisa, bxb, threesome, sorry kalo ada typo.",en,0.35248235
538,"We are going to the beach with most of our kids and grandkids, for a week, starting 4/9.",en,1
539,Sommelier’s,en,0.8202431
540,Students are also given challenges like incorporating weather data into calculations to work out when a shop in Chicago should sell more fleece.,en,1
541,MANJUNATHA 9066685559,te,1
542,Turns,en,1
543,"ATV, way she ridin' on",en,0.90401435
544,severe sinus bradycardia.,en,0.60166067
545,purified antigen vaccine,en,1
546,Rhino Sinusitis,la,0.8316901
547,spherical gaussian,en,1
548,􏰉􏱑􏰬􏰫􏰑􏰐􏰅􏰆 􏰉􏰐􏰢􏰮􏰅􏰆,en,0
549,SYLVIA PLATH,en,0.9599375
550,Grace Mainland,en,0.9587477
551,What's up? .9,en,1
552,Century design,en,0.9641689
553,impellers,en,1
554,I killer,en,0.9662232
555,Bend over,en,0.98270255
556,Don't fight the feeling,en,1
557,long) and the Severn (about 350 km).,en,0.9896976
558,if you adopt a more outgoing attitude.,en,1
559,mists,en,0.8229167
560,Pinworms,lv,0.2769231
561,Bring your compatible smartphone to the big screen.,en,1
562,flaca,es,1
563,;START GCODE,en,0.7029005
564,“Hey feller?”,en,0.93298006
565,CYCLING nawres,en,0.95984334
566,"manufacturer, or sold with the apparatus.",en,1
567,dyspepsia,en,1
568,terrific investor,en,1
569,The page also includes an initiative to recruit and offer training to refugees to assist with their social and professional integration.,en,0.9784949
570,DSCN3458.,en,1
571,270.,en,0
572,avoid,en,1
573,implementers,en,1
574,Hollenhorst,en,0.55569607
575,DCPIP,ms,1
576,"He had but one fault, since of love he took no care.",en,1
577,V/0238201.01.1632,en,0.72762644
578,piezoelectric crystals,en,0.97479707
579,unsustainable mental strain,en,1
580,Brand,en,1
581,(C) political,en,0.98556936
582,This got both of them thinking.,en,1
583,mechanic,en,1
584,comrade-in-arms,en,0.98166037
585,➢ Playing indoor & outdoor games,en,1
586,9 Obiekt ................................................. .................................,pl,1
587,Take down the old banners.,en,1
588,Special signal control plans,en,1
589,catheterization,en,1
590,tam?,lv,0.201581
591,Innerspring,ht,1
592,Geeks & Nerds,en,0.9840305
593,antiphrasis,"['en', 'la']","[0.52926725, 0.34133393]"
594,"As fans of Mother Nature, We make English Tea Shop tea bags, boxes and outer packaging fully compostable.",en,1
595,TEL;type=pref:+61408036062,en,1
596,IDGAFART,no,0.37344375
597,Tvpe,it,0.9550178
598,8PG,en,0.89387476
599,Przybrali nazwę Ukraine Support Group.,pl,0.7918992
600,"_P :JFJ,\AL 2 !!",en,0.71011347
601,inAlpine,en,0.90370744
602,03/23/2022 11:32 AM GMT,nso,1
603,Charlie Watson,en,0.88580024
604,amber died,en,1
605,frustrant,fr,0.48828125
606,Positie,nl,1
607,"Here at VANSTATION, we sell all types of vehicles!",en,1
608,surveying,en,1
609,Trina,en,0.9588313
610,legal):,en,1
611,a pilot to take a specific action,en,1
612,Extensors,en,1
613,Dermatologist and paediatrician,en,1
614,aeroplane(UK),en,0.90773517
615,• Inhibit DNA gyrase,en,0.8048175
616,cercaria,en,0.38595393
617,communication for dentistry,en,1
618,"I just thought we could-\"" she cleared her throat, and thoughts.",en,1
619,paseo,en,0.73602086
620,Pout,en,0.96965694
621,Jade has the prettiest of the laughs.,en,1
622,60/-,en,0
