text,label_true,label_pred
"Namun, ujarnya, penutupan gerai di dua lokasi itu hanya sementara, tidak akan berlangsung selamanya.",id,id
“Hari ini merupakan titik perubahan kepada Proton untuk menjadi sebuah entiti baharu yang mempunyai tenaga lebih hebat dengan sokongan kerajaan dari segi pemberian pinjaman mudah sebanyak RM1.5 bilion baru-baru ini.,ms,ms
"Sebanyak 10 anugerah disampaikan pada penganjuran edisi ke-21 ini termasuk anugerah khas, Nadi Cipta, yang dimenangi A Ali atau nama sebenarnya Hamdan Atan.",ms,ms
"Majlis tersebut yang dirasmikan oleh Timbalan Pengarah (Perubatan), Dr.",ms,ms
Ia telah legawa jika Mir akhirnya ditapuk sebagai kampiun musim ini.,id,id
Baru-baru ini kita turut dikejutkan dengan senario yang melanda negara.,ms,ms
"Sewajarnya kuasa itu mesti ada pada SKMM, tetapi agensi itu perlu merujuk pula kepada Peguam Negara.",ms,ms
"Walaupun dalam tempoh tersebut PDB telah menghadapi banyak cabaran dalam menangani pelbagai jenis jenayah yang berlaku di negara ini, namun PDB telah berjaya melaksanakan tugas yang telah dipertanggungjawabkan kepada mereka dengan baik.",ms,ms
"""(Dengan berjualan secara online) bisa mendapatkan pendapatan hingga ratusan juta dolar,"" ujarnya.",id,id
"Selain itu, di Kota Bharu mi­salnya, Kampung Jalan Atas Paloh yang bersebelahan Masjid Muhammadi, menjadi salah satu 'port’ pil kuda yang cukup terkenal dan tinjauan Mingguan Malaysia mendapati aktiviti jual beli dadah berkenaan dilakukan secara terbuka.",ms,ms
Wakil Presiden Iran pun sempat terinfeksi Covid-19.,id,id
Salah satunya banjir yang kembali mengepung kawasan Kabupaten Bandung tepatnya di Kecamatan Dayeuhkolot.,id,id
Bagaimanapun Ronser masih meneruskan penyelidikan dan pembangunan dalam bidang Sistem Pembentungan (SJTU) dengan menggunakan proses biologi.,ms,ms
"Peninjauan dilakukan untuk memantau, memberi motivasi, dan mengajak seluruh ASN melakukan inovasi-inovasi terbaik di tahun 2020.",id,id
"Katanya, rentetan perjalanan sejarah busana ini, memperlihatkan ia disesuaikan dengan identiti masyarakat setempat atau wilayah, juga dengan pengenalan nama yang berbeza.",ms,ms
Wilayah-wilayah perairan itu juga rawan pelanggaran.,id,id
"Ramalan zodiak cinta untuk Selasa 13 Oktober 2020, yang masih lajang jangan bersedih dan pisces akan selesaikan masalah.",id,id
"Untuk itu, pihak kepolisian menurutnya bakal menemui pihak kampus Unisba guna melakukan koordinasi terkait kerusakan yang terjadi pada Kamis (8/10) malam.",id,id
"Ketamadunan yang dibina kira-kira 2,000 tahun di China itu hakikatnya turut dibangunkan dengan persilangan peradaban lain, iaitu peminjaman yang kemudian diasimilasi kepada budaya dan sikap masyarakat tempatan yang berlaku di kota seperti Jaiyugan.",ms,ms
"Kemudian setelah Evos menaungi mereka, tim berisi 5 perempuan ini berganti nama menjadi Evos Galaxy.",id,id
Ia dinobatkan sebagai rookie of the year karena mampu tampil sangat baik di tahun pertamanya beraksi di kompetisi NBA tersebut.,id,id
Ia sebenarnya tidak berlaku kerana aktiviti di tanah milik persendirian itu hanya melakukan proses mencuci tanah sahaja.,ms,ms
Dia kemudian menyumbangkan dua tabung Apar ke pengelola pasar.,id,id
"Bahkan, Siti/Ribkatak pernah kehilangan satu gim pun.",id,id
"""Operasi mencari kumpulan itu sedang dijalankan pasukan bomba dan penyelamat yang menerima panggilan kira-kira pukul 6.42 petang semalam.",ms,ms
"""Kini, 70 tahun selepas penubuhannya, kita mempunyai jutaan ahli UMNO serata Malaysia.",ms,ms
Begitu juga dengan harga sotong yang ditetapkan mengikut gred dan dijual diantara RM8 dan RM12 sekilogram.,ms,ms
"Diketahui, sebuah mobil Pajero Sport dengan nomor polisi B 1812 PJH meledak di Jalan Adiwinata, Menteng Jakarta Pusat.",id,id
"Laman web Mirror.uk melaporkan, kumpulan yang dikenali sebagai ‘Jalal’ itu, baru-baru ini memuat naik video yang memaparkan bagaimana mereka mengganggu orang ramai secara rawak.",ms,ms
Wakil khas itu dijangka mengadakan lawatan untuk meneliti kadar pembunuhan beramai-ramai yang dilakukan oleh Presiden Rodrigo Duterte terhadap pengedar dan penagih dadah di negara itu.,ms,ms
"Terletak di dalam sebuah bangunan moden, ia menawarkan pelbagai barangan kraftangan seperti batik, sutera, songket, barangan tembaga serta hasil barangan segar.",ms,ms
Ambillah iktibar dan terjemahkanlah penghargaan itu dengan penuh yakin dan tanpa sedikit pun gentar.,ms,ms
"Berhubung caj visa umrah kali kedua yang ditetapkan kerajaan Arab Saudi, Jamil Khir berkata, tambahan sebanyak 2,000 riyal (RM2,250) untuk setiap jemaah merupakan keputusan yang mencakupi segala keperluan jemaah.",ms,ms
"Nilai itu berdasarkan hasil rapat dewan pengupahan meski tak berakhir dengan keputusan bulat lantaran Asosiasi Pengusaha Indonesia (Apindo) bersikukuh nilai UMK 2021 semestinya seperti SE Menaker, yakni tak naik.",id,id
"Berbicara menghidangkan olahan daging sapi dan kambing, untuk sebagian orang yang sudah tahu cara memasak daging tersebut dapat menghasilkan berbagai citarasa daging nan lezat.",id,id
"Sementara Kepala UPT Malioboro Ekwanto, mengaku pengaturan jumlah pengunjung di tiap zona akan dipantau melalui ‘QR Code’.",id,id
"Kategori A terdiri daripada peserta yang berumur 10 tahun hingga 12 tahun, kategori B (tujuh hingga sembilan tahun) manakala bagi kategori C (empat hingga enam tahun).",ms,ms
Untuk tujuan itu orang Mela­yu perlu mengenepikan perbezaan politik sesama mereka dan bersatu menentang kebiadaban pemimpin DAP seperti Jeff Ooi.,ms,ms
"Lalu babak kedua ganda campuran Indonesia akan diwakili oleh Praveen Jordan/Melati Daeva Oktavianti, Hafiz Faisal/Gloria Emanuelle AFPWidjaja serta Rinov Rivaldy/Pitha Haningtyas Mentari.",id,id
"Hanya saja jumlah pasien positif aktif masih tinggi yakni, 1.099 orang.",id,id
"“Klaster baru inilah yang patut kita waspadai bersama, mengingat adanya mobilitas penduduk yang cukup tinggi di Kota Denpasar,” tegasnya.",id,id
"Akbar berkata, penyelidikan mengenainya bermula pada 1975 hasil kerjasama penyelidik tempatan antaranya melibatkan Ketua Pegawai Eksekutif TARRC, Datuk Dr.",ms,ms
"Dua orang warga Indonesia, seorang ibu dan anak, positif terpapar virus Corona.",id,id
"Akhir, 49, yang bekerja sebagai operator telefon berkata, dia agak terkejut dan tidak menjangka puteri kesayangannya memperolehi keputusan cemerlang memandangkan dia seolah-olah tidak serius dalam pelajaran.",ms,ms
"ID, SURABAYA - Jawa Timur akan kembali kedatangan Pekerja Migran Indonesia (PMI) yang mudik pulang kampung, Rabu (15/4/2020).",id,id
Tahap akhir dari uji klinis diperlukan karena belum jelas apakah antibodi penawar cukup untuk melindungi seseorang dari Covid-19.,id,id
"Ini meliputi pengurangan stunting, peningkatan kualitas pengasuhan anak usia 0-3 tahun, serta peningkatan akses dan kualitas layanan pengembangan anak usia dini.",id,id
Barangan terbabit yang ada antaranya dijual pada harga serendah RM2 setiap satu popular dalam kalangan penduduk berpendapatan rendah.,ms,ms
Hubungan kami bertiga juga sudah tidak akrab lagi.,ms,id
"Hal itu terungkap dalam Webinar Telaah Kritis Regulasi ODOL, Kamis (3/12/2020).",id,id
"Dalam masa yang sama, Malaysia juga kekal dengan pendirian bahawa sebarang isu tuntutan bertindih harus di­selesaikan melalui meja run­di­ngan dan semua negara terlibat mesti mengelak daripada terjerumus ke kancah peperangan.",ms,ms
"Sasaran CCM adalah untuk memulakannya dan jika sebelum ini biosimilar tidak dikenali tetapi selepas CCM menceburinya, industri perubatan sudah mula membuka ruang untuk bidang itu.",ms,ms
Saya memang sasar untuk pecahkan rekod itu sebab rekod itu sudah lama.,ms,ms
Prabowo Subianto yang kini menjadi Menteri berada di urutan teratas.,id,id
"Tanpa usaha, mungkin semua barang kita diseludup.",ms,ms
Tentunya Dermaga Diraja BSB mempunyai daya tarikan pengunjung-pengunjung pelbagai lapisan yang turut menyaksikan regata 2013 nanti dengan penuh semangat dan deruan teriakan para penyokong.,ms,ms
"“Pelanggan lelaki itu kemudiannya membawa kira-kira 40 orang rakannya dan menyerang mangsa serta pekerjanya menggunakan topi keledar dan kerusi serta merompak rumah mangsa,” katanya kepada pemberita di sini hari ini.",ms,ms
"Tetapi sekali lagi, apa yang dilakukan oleh kerajaan Jokowi ini bukan inisiatif baharu.",ms,ms
"“Kita sekarang lagi mempersiapkan, misalnya bagaimana penyediaan minyak, bagaimana penampungan ikan di sana.",id,ms
"""Masalah kegawatan ekonomi akan menyebabkan permintaan terhadap produk teknologi berkurangan.",ms,ms
Mereka bahkan membuat video yang bernada ancaman untuk Lucinta melalui video.,id,id
"Semula, harga tomat Rp 6.000 per kilogram dan kini hanya Rp 300 per kilogram.",id,id
"Para dokter mengatakan, mereka melihat penyakit itu berkembang pada orang-orang berusia 50-an ke atas yang tidak mengalami gejala pada usia muda.",id,id
"Bayangkan seorang pahlawan bangsa yang sudah bertukar menjadi manusia syaitan, manusia hitam seperti Darth Vader dalam Star Wars, maka natijahnya ialah kehancuran empayar dan bangsa.",ms,ms
"Perusahaan-perusahaan dengan eksposur ke China dihadapkan pada double-whammy, tambah para ekonom, karena mereka mendapatkan untung dari tugas-tugas China sendiri.",id,id
"Bukan itu sahaja, bidang kerjaya yang selama ini dimonopoli lelaki seperti kejuruteraan berat sekalipun sudah ditembusi kaum wanita.",ms,ms
"Oleh karena itu, Sudarmaji berharap PT Liga Indonesia Baru (LIB), selaku operator Liga 1 2020 bisa segera memberikan arahan teknis renegosiasi.",id,id
"Penerbangan pulang kontinjen negara itu terdiri daripada 28 atlet dan pegawai yang diketuai Chef de Mission Tan Sri Mohamed Al-Amin Abdul Majid serta turut disertai Menteri Belia dan Sukan, Khairy Jamaluddin.",ms,ms
Kebanyakan mereka berdagang saham secara kontra atau melakukan urus niaga harian.,ms,ms
"Rahul, 43, merupakan pemimpin nombor dua parti dan ketua strategi Parti Kongres yang kini dipimpin oleh ibunya Sonia Gandhi yang bertindak sebagai Presiden.",ms,ms
"Jelasnya, beliau juga telah mengadakan pertemuan dengan pengerusi dan jawatankuasa semua 24 buah masjid di kawasan Kuala Kangsar.",ms,ms
Beliau mempunyai hobi mengumpul duit syiling dan amat menggemari patung mainan serta mempunyai banyak koleksi patung tentera serta sering melayani permainan komputer untuk menghilangkan tekanan.,ms,ms
Istanbul Basaksehir juara Liga Turki 2019/20.,id,id
"Selain itu juga, hubungan rapat antara ibu dan anak dapat memberi jaminan sosial kerana keharmonian sesebuah masyarakat itu juga berpunca dari sebuah keluarga yang harmoni.",ms,ms
Firman Allah SWT dalam Surah ar-Rahman ayat 3 - 6: “Dialah yang telah menciptakan manusia.,ms,ms
"Itulah mengapa VAR dihadirkan, tetapi VAR segera mengabaikan insiden itu,"" ujarnya menambahkan.",id,id
"Sebagai rekod, pada festival di Helsinki itu, Mohd.",ms,ms
"""Dari sisi pasokan (supply), jaringan 5G bisa mengintegrasikan, misalnya, communication hub with solar power, energy management, smart meters, dan lain sebagainya,"" ujar Teguh.",id,id
"Zohdi, calon BN di Parlimen Sungai Besar memperoleh 16,800 undi manakala Datin Mastura Mohd.",ms,ms
"Andy menerangkan, para anggota P2TK terdiri dari mantan pemusik seperti dari Band Bhayangkara (kepolisian), band tahun 70-an seperti Destroyer bahkan ada juga dari dari Band Bukit Barisan Kodam.",id,id
"Meskipun sejumlah negara absen mengirimkan pemainnya karena Covid-19, namun turnamen berhadiah USD 750,000 masih menyajikan game-game seru.",id,id
Vonis itu lebih ringan dari tuntutan.,id,id
Lalu ia mempersilakan laba-laba jantan untuk masuk seraya berdiri di depannya dengan gerakan-gerakan yang memesona dan nyanyian merdu agar si jantan mau masuk ke dalam rumah.,id,id
"Alhamdulillah sepanjang menjalankan tugas ini, tidak pernah berlaku perkara tidak diingini sehingga mencacatkan majlis atau pengacara ditukar saat akhir.",ms,ms
"Pengarah Pejabat Perdagangan Dalam Negeri, Koperasi dan Kepenggunaan (PPDNKK) negeri, Datuk Ab.",ms,ms
"Pertama kali memandang, anda pasti tertawan dengan saiz badannya yang kecil tetapi memiliki ciri maskulin pada garisan badan yang mengembang.",ms,ms
Foto-foto tersebut diunggah di Instagram (IG) pada Kamis 2 April 2020.,id,id
"• Ketidakpastian dan kemungkinan yang belum dijelajahi: Apa yang ditimbulkan oleh pandemi, ketidakpastian yang membentuk masa depan geopolitik dan keamanan regional?",id,id
"Pengerusi Jawatankuasa Industri dan Pelaburan, Perdagangan Dalam Negeri, Hal Ehwal Pengguna dan Koperasi, Segi tiga Pertumbuhan Indonesia, Malaysia dan Thailand (IMT-GT), Datuk Dr.",ms,ms
"Menurutnya, JK memiliki perhatian lebih untuk mencari calon pemimpin masa depan.",id,id
Itu yang diajar oleh bapa saya.,ms,ms
H. menutup muka ketika memasuki mahkamah untuk dibicarakan atas tuduhan membunuh tiga pesakit di bawah jagaannya di sebuah klinik di utara Jerman.,ms,ms
Kabinet Israel takrif Israel negara Yahudi BAITULMAQDIS 24 Nov.,ms,ms
Namun persembahan ini kami cairkan sedikit penggunaan loghat lama dan dimodenkan sebab mahu memberi kemudahan buat penonton.,ms,ms
"Sebelum sampai ke Mekah, Ampuan Mohamad Khairul Anuar sekeluarga berkunjung ke Madinatul Munawarah terlebih dahulu selama lima hari dan menetap di Hotel Dallah Taibah.",ms,ms
Ini apabila beliau mengetuai pula tindakan menandatangani satu ‘deklarasi’ bersama pakatan pembangkang yang menyokong penyingkiran Najib daripada jawatan Perdana Menteri.,ms,ms
"Menurut Mohammed Azman, seramai 95 peserta daripada 65 buah majikan menyertai program Disability Equality Training (DET) yang diadakan sebaik sahaja majlis MoU tersebut selesai.",ms,ms
"Jamilah Ariffin berkata, golongan tersebut akan dibantu membina hidup baru menerusi perniagaan dan menggesa mereka yang belum mendaftar segera berbuat demikian.",ms,ms
"Tidak menutup kemungkinan, jaringan-jaringan bisnis pornografi melakukan berbagai terobosan inovatif yang barangkali tidak bisa dideteksi sejak dini, apakah anak-anak Indonesia menjadi sasaran bisnis pornografi atau tidak.",id,id
"Komitmen Fee 10% tersebut juga dikurangi Rp 3 Miliar untuk Wakil Bupati Muara Enim, Juarsah.",id,id
Roma terlalu hebat buat CSKA Moscow ROM - Gervinho menjaringkan dua gol pada babak pertama untuk membantu AS Roma memulakan kemunculan semula mereka dalam Liga Juara-juara dengan penuh bergaya semalam apabila membelasah CSKA Moscow 5-1.,ms,ms
"Oleh itu, semua pihak memahami perkara ini dan tidak perlu mempertikaikannya.",ms,ms
"Selanjutnya Dito Ganinduto mendukung langkah-langkah serta upaya kebijakan yang dirumuskan bersama oleh Menko Perekonomian, Menteri Keuangan, Menteri Teknis Terkait dan Anggota KSSK dalam merespon penanganan Covid-19.",id,id
Bagaimanakah senario peningkatan harga rumah boleh ditangani?,ms,ms
Sultan Selangor rasmi bangunan baharu Mahkamah Klang SULTAN Sharafuddin Idris Shah berkenan menyaksikan pameran sempena perasmian bangunan baharu Mahkamah Klang.,ms,ms
"""Kami sangat menyesal kepada para penggemar yang telah menunggu dengan penuh semangat untuk konser ini.",id,id
"Pada Juni 1974 tepat sebelum kapal dilayarkan lagi ke lokasi, tiba-tiba kantor pemilik kapal disatroni maling dan semua dokumen rahasia tentang misi itu dibawa kabur.",id,id
"Sebaliknya, bagi penumpang yang melakukan perjalanan memakai kendaraan pribadi melalui transportasi darat dan laut.",id,id
Bintoro menambahkan pemasangan alat H2SO4 recovery merupakan bagian dari komitmen perusahaan untuk meningkatkan tata kelola lingkungan.,id,id
"Pemain Brazil itu menjaringkan satu-satunya gol dalam aksi berkenaan menerusi satu sepakan jarak jauh menarik, bagi membantu memastikan The Reds membawa pulang mata penuh.",ms,ms
"Dalam keterangannya melalui Media Center Gugus Tugas Percepatan Penanganan COVID-19, Yuri juga mengajak agar masyarakat memulai dengan pola hidup baru, cara berpikir baru dan bertindak untuk memutus rantai penyebaran COVID-19.",id,id
Kadir Husin di sekolah itu hari ini.,ms,ms
"Beliau berkata, sektor perumahan memang memerlukan pelbagai insentif daripada kerajaan dan sebagai pemaju JCorp. turut melihat isu pemilikan rumah ini wajar diberi keutamaan dan perhatian serius.",ms,ms
"Kemudian dalam pertimbangannya, hakim tidak mengurai fakta-fakta secara kongkrit.",id,id
"""Kalian yakin akan sembuh bisa pulih lagi.",id,id
Junita Liesar tampak melakukan panggilan video dengan Laurens.,id,id
"COM, PALEMBANG -- Anggota Propam Polrestabes Palembang berhasil menangkap polisi gadungan yang mengaku sebagai anggota polisi Polda Sumsel.",id,id
"Sebelumnya, Juve menyingkirkan AC Milan lewat keunggulan gol tandang (agregat 1-1).",id,id
"Antara kawasan yang dilaporkan terjejas sekitar Butterworth merangkumi kawasan Sungai Dua dan Raja Uda; Georgetown; Sungai Dua Glugor, Bayan Lepas dan sekitar kampus induk USM.",ms,ms
"Beliau berkata, pihaknya akan berjumpa dengan mereka dalam dua minggu lagi untuk berbincang dan memberi penjelasan bagaimana sistem perubatan sektor swasta beroperasi.",ms,ms
"""Semua pasar yang dibangun sejak 2016 sampai dengan 2019 dari dana DAK dan TP, semuanya sudah beroperasi, sehingga bisa memberikan kenyamanan bagi pedagang maupun masyarakat dalam berbelanja,"" imbuh dia.",id,id
"Namun, banjir tersebut dimanfaatkan sejumlah warga sekitar untuk meraup keuntungan dengan cara mengangkut kendaraan roda dua menggunakan gerobak.",id,id
"ID, MARTAPURA - Kepergian Wali Kota Banjarbaru H Nadjmi Adhani menghadap sang Khalik membawa duka mendalam bagi siapa saja yang mengenalnya, tak terkecuali Bupati Banjar H Khalilurrahman.",id,id
"Beliau juga menentang penggunaan niqab iaitu purdah yang menutup seluruh muka, dengan mengeluarkan fatwa tahun lalu yang mengharamkan pemakaiannya di semua sekolah wanita di bawah kendalian Al-Azhar.",ms,ms
"Masalah yang kerap muncul adalah pendapatan itu sering tidak ditata dengan rapi lewat anggaran, misalnya pengeluaran.",id,id
"Namun, di pasaran banyak cumi yang dijual dalam keadaan beku.",id,ms
"Lebih baik, papar dia, semua pihak mendukung panja yang sudah melakukan tugasnya dengan memanggil berbagai pihak terkait.",id,id
Idan meninggal di usia 44 tahun.,id,id
"Namun, ada juga bangunan lama yang tidak dapat diselamatkan dan akhirnya diruntuhkan, sekali gus menjadikan keadaan ini sangat menyedihkan.",ms,ms
"Bagi saya, ini satu pendekatan yang boleh memajukan ekonomi Bumiputera dengan membawa masuk mereka yang tidak berkepentingan dalam GLC tetapi mahu melihat nasib kaum Bumiputera terbela.",ms,ms
Namun keluarga ini kemudian ditraktir Siwon dengan ice cream yang dijual di gedung itu.,id,id
"""Oleh karena itu, kami mengimbau kepada seluruh pengguna jasa kelautan untuk tetap waspada terhadap kemungkinan terjadinya gelombang tinggi serta memerhatikan risiko keselamatan pelayaran,"" tambah Rendi.",id,id
"Penolong jurulatih Indonesia dan doktor pasukan cedera ringan dalam insiden berkenaan kata setiausaha Persekutuan Bola Sepak Vietnam, Le Hoai Anh kepada AFP hari ini.",ms,ms
“Jawatankuasa yang dianggotai oleh agensi dakwah akan bermesyuarat dua bulan sekali bertujuan untuk merangka strategi dakwah yang dijalankan sepanjang tahun.,ms,ms
"Saya harap itu tidak terjadi, meskipun ketika kami berlatih kami terbiasa tidak dilihat oleh orang lain di stadion,” ujar Federer, sebagaimana dikutip dari Tennis Head, Selasa (9/6/2020).",id,id
Tetapi kita tidak terkejut dengan sifat aktivis dan pembangkang ini kerana mereka sanggup berbuat apa sahaja asalkan agenda politik mereka tercapai.,ms,ms
Bagaimana kondisi kondisi saat survei dilakukan.,id,id
"Stesen televisyen tempatan melaporkan, Arab Saudi turut melancarkan Operasi Puting Beliung yang bertujuan membawa pulang diplomat asing dari Aden menggunakan kapal-kapal perangnya.",ms,ms
"Edison Hadjar mengatakan, penyusunan raperda usul inisiatif yang diusulkan DPRD telah melalui proses yang panjang dan sudah dilakukan pengkajian baik dari sisi akademis, sosiologis maupun dari sisi yuridis.",id,id
"Luhut meminta semua gubernur tetap menjalankan operasi penegakan protokol kesehatan, seperti penggunaan masker dan menjaga jarak.",id,id
"Ini kerana mereka merasakan muzik menjadi pendorong sepanjang berada di sini,"" katanya.",ms,ms
"Kemenag Imbau Warga Tunda Rencana Akad Nikah, Pendaftar sebelum…",id,id
"Tanpa peran mereka, penyajian kompetisi perdana yang unik seperti ini kepada komunitas esports tidak akan mungkin terjadi,"" lanjutnya.",id,id
"Dalam satu lagi acara, gandingan Gan Kong Leong, Amran Risman dan Teh Chee Fei memungut gangsa untuk skeet berpasukan lelaki selepas mengumpul 308 mata.",ms,ms
COM – Laga Persahabatan bertajuk independent mulai dilakukan oleh tim Fakrizal-Genius Fotball Club (FGFC).,id,id
"""Ini adalah prosedur biasa mengesahkan status jenazah sebelum diserahkan semula kepada kami,"" katanya ketika ditemui BH, baru-baru ini.",ms,ms
"“Mari kita bersama-sama membangun Kaur dengan meningkatkan sinergitas, terutama dalam menjaga keamanan menjelang Pilkada ini,”harapnya.",id,id
"Namun terlepas dari itu, Denny Darko memrediksi akan ada sesuatu yang terjadi di kehidupanpada tahun 2020 ini.",id,id
"‘‘Sebagai isteri kedua, kena ba­nyak mengalah dan hormat.",ms,ms
"Seperti dialami Una (bukan nama sebenarnya) yang menjalin hubungan beracun dengan mantan kekasihnya, Ali (nama samaran).",id,id
"Melalui ilmu pengetahuan dan pendidikan dimiliki sepasang 'Srikandi' inilah, anak-anak di desa padat permukiman penduduk tersebut tak hanya mampu bersaing dengan siswa lainnya saat di sekolah.",id,id
"""Walaupun `Patricia' kurang popular dalam kaki selam kerana kurang publisiti, namun keunikannya diperakui jurugambar profesional dan saintis marin.",ms,ms
"Tapi ini untuk mencegah perang, mencegah konflik.",id,id
Diketahui sampai dengan Minggu (2/8) angka kasus positif Covid-19 di dalam negeri totalnya adalah 111.455 orang.,id,id
"Mau Jual Rumah Olga, Billy Syahputra Dibentak Nagita Karena…",id,id
"Jokowi juga yakin, Bangsa Indonesia bisa menang melawan wabah Covid-19, dengan indikator menemukan vaksin antivirus, dan bangkitnya perekonomian.",id,id
"Antara artis yang berjaya ialah Halim Yazid, Cikgu Sulizi dan Man Khan yang telah memiliki syarikat rakaman sendiri serta mempunyai beberapa artis bernaung di bawah­nya seperti Rosalinda, selebihnya tidak diketahui nasib mereka.",ms,ms
"""Semua itu jika dikelola dengan baik, saya yakin dampaknya bagi pengembangan kota akan sangat baik,"" pungkas dia.",id,id
The Mayo Clinic menjelaskan bahwa virus korona cenderung bertahan lebih lama pada permukaan keras seperti plastik dan logam daripada permukaan yang lembut seperti kain.,id,id
"Di bawah binaan pelatihnya, Vanni terus dididik dengan trik-trik dan strategi bertanding.",id,id
Sebelumnya ID diumumkan sebagai pasien kedua positif COVID-19 di DIY.,id,id
"Ia menyebutkan, dengan rencana penerapan skenario ""The New Normal"", Holding Perkebunan Nusantara bersiap untuk memastikan efektivitas operasional perusahaan dan produktivitas karyawan sampai akhirnya kembali pada skala normal.",id,id
"Menurut dia, peraturan baru ini juga berdampak positif bagi perusahaan pusat logistik berikat (PLB) seperti PT Uniair.",id,id
"Tegas Abdullah Bukhari, memang Allah Maha Berkuasa untuk melakukan apa sahaja, tetapi perlu dipahat kemas dalam hati bahawa Allah juga sudah meletakkan sunnatullah atau undang-undang-Nya yang tidak akan diubah.",ms,ms
Pengeluaran balak secara sah akan melalui beberapa prosedur yang ketat dan tidak ditebang habis.,ms,ms
Satu sidang kemuncak EU esok akan membincangkan rancangan kontroversi yang diumumkan minggu ini bagi membentuk pasukan pengawal sempadan baharu yang boleh campur tangan dalam negara anggota tanpa kebenaran mereka bagi menangani isu pelarian.,ms,ms
Ketiga indeks saham utama AS tersebut melanjutkan pelemahannya setelah masing-masing berakhir di zona merah pada perdagangan Rabu (18/3/2020).,id,id
Langkah ini harus dilakukan mereka kerana Johor merupakan tiang seri UMNO yang kini condong sedikit tetapi masih kukuh.,ms,ms
"Teranyar, pada Kamis 4 Juni kemarin, Gubernur DKI Anies Baswedan mengumumkan memperpanjang masa PSBB, tapi dia tak menyebut sampai tanggal berapa.",id,id
"Raja Arab Saudi, Salman bin Abdulaziz saat menghadiri pertemuan tingkat tinggi Konferensi Liga Arab di kota Dhahran, Minggu (15/4/2018).",id,id
Menurutnya Milikior memang rajin ke pantai untuk mandi laut dan setiap hari berangkat ke pantai biasanya sekitar pukul 05.00 Wita.,id,id
Pengunjung disarankan membawa tumbler untuk minum.,id,id
"Saat memperkuat Real Madrid, Theo Hernandez hampir berhadapan dengan kakaknya, Lucas yang bermain untuk Atletico Madrid.",id,id
Dia melaburkan modal permulaan yang agak tinggi dengan satu lot kawasan mencecah puluhan ribu ringgit.,ms,ms
"Nabi menyelesaikan syak wasangka dengan sains, dengan ilmu kaji hayat.",ms,ms
“Kita sentiasa memantau dari semasa ke semasa kerja-kerja pembersihan yang dibuat mengikut jadual yang ditetapkan menerusi peruntukan yang disediakan setiap tahun.,ms,ms
Topik yang disediakan begitu lengkap hingga bab mengenai properti dan juga turut dihadirkan.,id,ms
Rapat kerja tersebut membahas persoalan penanganan dugaan korupsi PT Asuransi Jiwasraya (Persero).,id,id
"Jadi, investasi yang dilakukan ATB adalah investasi membeli masa depan.",id,id
